added_dt,last_update,link,floor,heating,advertiser_type,location,latitude,longitude,approximate_coordinates,elevator,building_type,safeguards,district,rent,additional_fees,area,room_number,students_allowed,non_smoker_only,building_height,for_renovation,balcony,terrace,garden,parking_space,separate_kitchen,utility_room,basement,gated_community,security_monitoring,building_age,cable_tv,internet,dishwasher,air_conditioning
2024-12-01,2024-12-18,https://www.otodom.pl/pl/oferta/2-oddzielne-pokoje-powisle-balkon-tramwaj-metro-ID4tI8c,2.0,district,agency,"al. Aleja 3 Maja, Solec, Śródmieście, Warszawa, mazowieckie",52.2344,21.0355,0,1,tenement,0,Srodmiescie,2700,600,38.0,2.0,0,0,8.0,0,1,0,0,0,1,0,0,0,0,93.0,0,1,0,0
2024-12-01,2024-12-01,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-wola-55m2-platinum-residens-ID4sLuf,10.0,district,agency,"ul. Grzybowska, Mirów, Wola, Warszawa, mazowieckie",52.23338,20.98782,0,1,apartment,0,Wola,6900,1300,55.0,2.0,0,0,22.0,0,1,0,0,1,0,0,0,0,1,16.0,1,1,1,0
2024-12-01,2024-12-19,https://www.otodom.pl/pl/oferta/bezposrednio-warszawa-mlociny-ID4tI5t,3.0,district,owner,"ul. Encyklopedyczna, Młociny, Bielany, Warszawa, mazowieckie",52.304743,20.926738,0,1,block_of_flats,1,Bielany,2900,770,56.0,2.0,0,1,5.0,0,1,0,0,1,0,0,0,0,0,16.0,1,1,1,0
2024-12-01,2024-12-19,https://www.otodom.pl/pl/oferta/metro-garaz-w-cenie-okazja-ID4tI3k,8.0,district,agency,"ul. Ludwika Kondratowicza, Bródno, Targówek, Warszawa, mazowieckie",52.29068,21.04814,0,1,other,1,Targowek,1950,736,35.0,1.0,0,0,8.0,0,0,0,0,0,0,0,0,1,0,24.0,1,1,0,0
2024-12-01,2024-12-21,https://www.otodom.pl/pl/oferta/mieszkanie-blisko-metra-mlynow-od-zaraz-ID4tI8r,1.0,district,owner,"ul. Żytnia, Młynów, Wola, Warszawa, mazowieckie",52.238905,20.968706,0,0,block_of_flats,0,Wola,2500,400,21.0,1.0,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
2024-12-01,2024-12-21,https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-na-starych-bielanach-ID4tI1X,1.0,gas,agency,"ul. Gustawa Daniłowskiego, Stare Bielany, Bielany, Warszawa, mazowieckie",52.276306,20.945823,0,0,tenement,1,Bielany,5000,0,60.0,3.0,1,0,1.0,0,1,1,1,1,0,0,1,0,0,88.0,0,1,0,0
2024-12-01,2024-12-21,https://www.otodom.pl/pl/oferta/osiedle-amsterdam-33m2-2-pokoje-ID4tI42,2.0,,owner,"ul. Rembrandta, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",52.280378,21.049779,0,0,block_of_flats,0,Targowek,3000,650,33.0,2.0,0,0,5.0,0,1,0,0,1,0,0,0,1,0,,0,0,1,0
2024-12-01,2024-12-01,https://www.otodom.pl/pl/oferta/patria-3-bedrooms-2-bath-air-cond-terrace-ID4taT7,5.0,district,agency,"ul. Leona Kruczkowskiego, Solec, Śródmieście, Warszawa, mazowieckie",52.23404,21.03084,0,1,apartment,0,Srodmiescie,16000,2000,131.0,4.0,0,0,8.0,0,1,1,0,1,0,0,0,1,1,17.0,1,1,1,1
2024-12-01,2024-12-19,https://www.otodom.pl/pl/oferta/pierwszy-wynajem-nowoczesne-bez-prowizji-ID4tIrW,4.0,district,owner,"Holzera 6, Powsinek, Wilanów, Warszawa, mazowieckie",52.15613,21.11163,0,1,block_of_flats,1,Wilanow,3900,680,38.43,2.0,0,0,4.0,0,1,0,0,1,0,0,0,1,1,1.0,1,0,1,1
2024-12-01,2024-12-19,https://www.otodom.pl/pl/oferta/po-remoncie-komfortowe-42-m2-blisko-wum-i-okecia-ID4tIcS,1.0,district,owner,"ul. Stefana Baleya, Rakowiec, Ochota, Warszawa, mazowieckie",52.197027,20.980022,0,0,block_of_flats,1,Ochota,2900,500,41.6,2.0,0,1,4.0,0,0,0,0,0,0,0,1,0,0,,0,1,1,0
