added_dt,floor,heating,latitude,longitude,elevator,building_type,safeguards,district,rent,additional_fees,area,room_number,building_height,for_renovation,balcony,terrace,garden,parking_space,separate_kitchen,utility_room,basement,gated_community,security_monitoring,building_age,cable_tv,internet,dishwasher,air_conditioning,distance_to_stop,distance_to_subway,distance_to_center,avg_price,is_furnished,apartment_class
2024-12-01,2.0,district,52.2344,21.0355,1,tenement,0,Srodmiescie,2700,600,38.0,2.0,8.0,0,1,0,0,0,1,0,0,0,0,93.0,0,1,0,0,0.04382759441165122,0.6442616977358232,1.671,102.93926695957485,1,basic
2024-12-01,10.0,district,52.23338,20.98782,1,apartment,0,Wola,6900,1300,55.0,2.0,22.0,0,1,0,0,1,0,0,0,0,1,16.0,1,1,1,0,0.08819593089527773,0.33201343200132855,1.71,127.28691975333165,1,superior
2024-12-01,3.0,district,52.304743,20.926738,1,block_of_flats,1,Bielany,2900,770,56.0,2.0,5.0,0,1,0,0,1,0,0,0,0,0,16.0,1,1,1,0,0.43010963381535305,1.410616503552781,10.171,82.1530091633119,1,basic
2024-12-01,8.0,district,52.29068,21.04814,1,other,1,Targowek,1950,736,35.0,1.0,8.0,0,0,0,0,0,0,0,0,1,0,24.0,1,1,0,0,0.1768240303685919,0.1768240303685919,7.208,81.72704051267498,1,basic
2024-12-01,1.0,district,52.238905,20.968706,0,block_of_flats,0,Wola,2500,400,21.0,1.0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0.2301644224897485,0.5871203997701363,3.134,88.95032075515795,1,standard
2024-12-01,1.0,gas,52.276306,20.945823,0,tenement,1,Bielany,5000,0,60.0,3.0,1.0,0,1,1,1,1,0,0,1,0,0,88.0,0,1,0,0,0.11112167083561887,0.578061223304798,6.875,82.62220098784942,1,basic
2024-12-01,2.0,,52.280378,21.049779,0,block_of_flats,0,Targowek,3000,650,33.0,2.0,5.0,0,1,0,0,1,0,0,0,1,0,,0,0,1,0,0.27106814687357234,0.45301791170808514,6.189,80.7733954382429,1,standard
2024-12-01,5.0,district,52.23404,21.03084,1,apartment,0,Srodmiescie,16000,2000,131.0,4.0,8.0,0,1,1,0,1,0,0,0,1,1,17.0,1,1,1,1,0.04048200775880399,0.5434370273375689,1.358,105.56489227803907,1,premium
2024-12-01,4.0,district,52.15613,21.11163,1,block_of_flats,1,Wilanow,3900,680,38.43,2.0,4.0,0,1,0,0,1,0,0,0,1,1,1.0,1,0,1,1,0.6101265072221124,4.037385994245652,10.623,89.24013334191973,1,superior
2024-12-01,1.0,district,52.197027,20.980022,0,block_of_flats,1,Ochota,2900,500,41.6,2.0,4.0,0,0,0,0,0,0,0,1,0,0,,0,1,1,0,0.14971110441019084,2.1708238860864384,4.243,90.54529364321817,1,standard
2024-12-01,2.0,district,52.27587,21.047,1,block_of_flats,0,Targowek,4450,750,65.0,3.0,5.0,0,1,0,0,0,0,0,0,0,0,9.0,1,1,1,1,0.03760921801260079,0.4036680168901417,5.654,89.18211862032528,1,standard
2024-12-01,1.0,district,52.248963,21.068475,1,block_of_flats,0,Praga_Poludnie,2700,650,41.0,2.0,5.0,0,1,0,0,1,0,0,0,1,1,7.0,1,1,1,1,0.11643593060489148,1.7399712595186207,4.39,99.55830464214898,1,standard
2024-12-01,5.0,district,52.191168,20.987134,1,apartment,1,Mokotow,2900,670,30.0,1.0,6.0,0,1,0,0,1,0,0,0,1,1,5.0,0,1,1,0,0.13700459843634358,1.9305272373463989,4.612,97.88160250001603,1,standard
2024-12-02,1.0,district,52.19256,21.01614,0,block_of_flats,1,Mokotow,3100,600,37.5,2.0,4.0,0,0,0,0,1,0,1,1,1,1,70.0,0,1,1,0,0.0847315881588272,0.3336898478068304,4.139,87.29952796388815,1,standard
2024-12-02,4.0,district,52.24096,21.02414,0,tenement,1,Srodmiescie,6750,410,79.0,3.0,4.0,0,0,0,0,0,0,1,0,0,1,89.0,0,1,1,0,0.09437826292892129,0.37242247832519854,1.493,126.5779507994515,1,superior
2024-12-02,3.0,district,52.23338,20.95718,1,block_of_flats,1,Wola,4800,1000,46.0,2.0,7.0,0,1,0,0,0,0,0,0,1,1,13.0,0,0,1,0,0.15972060666452664,0.4420535608270488,3.769,101.42661426341625,1,standard
2024-12-02,7.0,district,52.17991,20.94782,1,apartment,1,Wlochy,4000,350,36.0,2.0,7.0,0,1,0,0,1,0,0,0,1,1,3.0,1,1,1,0,0.031026359624488718,4.772103387121807,7.064,92.41600237200352,1,standard
2024-12-02,1.0,district,52.27405,20.94309,0,block_of_flats,0,Bielany,3800,760,56.0,3.0,4.0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0.25939607637063455,0.8891654697737179,6.816,83.36452117713003,1,standard
2024-12-02,1.0,district,52.174163,21.010892,1,block_of_flats,0,Mokotow,3000,700,46.0,3.0,10.0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.05195249628535414,0.9021448508215464,6.176,87.49270283147615,1,standard
2024-12-02,2.0,district,52.258246,20.932134,1,other,0,Bemowo,2800,200,30.0,1.0,4.0,0,1,0,0,1,0,0,0,0,0,21.0,0,0,0,0,0.039287522700186435,1.9742258005470712,6.308,72.53036014263269,1,standard
2024-12-02,9.0,district,52.274561,20.954678,1,block_of_flats,0,Bielany,2600,700,37.0,2.0,10.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.16593512837117932,0.4367628057554748,6.342,640.4804681736018,1,standard
2024-12-02,3.0,district,52.160458,21.083189,1,apartment,1,Wilanow,4500,0,46.0,2.0,3.0,0,0,1,0,1,0,1,0,1,1,10.0,1,1,1,0,0.2023145164729689,2.756981148110067,9.094,98.91003637890896,1,standard
2024-12-02,2.0,district,52.18748,21.0611,1,block_of_flats,1,Mokotow,3900,400,44.0,2.0,6.0,0,1,1,0,1,0,1,0,0,1,4.0,0,0,1,1,0.14369023348445387,2.6468090921265115,5.757,78.07568243133262,1,superior
2024-12-02,1.0,,52.193873,21.00949,1,other,0,Mokotow,2900,700,36.0,2.0,10.0,0,0,0,0,0,0,0,1,0,0,45.0,0,0,1,0,0.16982909365569193,0.6770389071997395,3.988,85.18305871571305,1,standard
