link,rent,additional_fees,adv_description,filtered_description,llm_output,real_additional_fees
https://www.otodom.pl/pl/oferta/kawalerka-16-m2-praga-poludnie-kozuchowska-ID49xRV,1500,0,"Kawalerka 16.m. Praga Południe. Kożuchowska. 1500zl. Bez czynszu +energia elektryczna. Kaucja 1500zl.Lodówka, pralka, telewizor. Szafa wnękowa, łóżko z możliwością rozkładania. Łazienka z oknem . Ogrzewanie elektryczne. Miejsce parkingowe. Jerzy Skontaktuj się","Kawalerka 16.m. Praga Południe. Kożuchowska. 1500zl. Bez czynszu +energia elektryczna. Kaucja 1500zl.Lodówka, pralka, telewizor. Szafa wnękowa, łóżko z możliwością rozkładania. Łazienka z oknem . Ogrzewanie elektryczne. Miejsce parkingowe. Jerzy Skontaktuj się",energia elektryczna: brak wartości,600
https://www.otodom.pl/pl/oferta/kawalerka-z-garazem-warszawa-wlochy-blisko-pkp-ID4uxFP,1840,0,"Polecam do wynajęcia kawalerkę położoną na osiedlu kameralnym, ogrodzonym składającym się z kilku nowoczesnych budynków mieszkalnych. Części wspólne są eleganckie i nowoczesne, w budynku winda. Lokalizacja spokojna i cicha, która zapewnia komfortowy i wygodny styl życia. W pobliżu mieszkania znajdują się tereny zielone , place zabaw, parki, a także sklepy, restauracje i kawiarnie tj. Park Kombatantów, Park Staw Koziorożca, Park Stawy Cietrzewia oraz kilka zieleńców. Tereny zielone wyposażone są w place zabaw, siłownie, place wypoczynkowe. W pobliżu stacje kolejowe Szybkiej Kolei Miejskiej i Warszawskiej Kolei Dojazdowej. Dojazd do centrum w czasie około 15-20 minut. W pobliżu trasy wylotowe z Warszawy Al. Jerozolimskie i Al. Krakowska.
Mieszkanie położone na 1 piętrze. Składa się z dużego pokoju z wyjściem na loggie. Loggia duża, możliwość wystawienia stolika i krzesełek. Pokój w pełni umeblowany. Na życzenie klienta możliwość wymiany rozkładanej kanapy. Kuchnia w częściowym aneksie w pełni umeblowana i wyposażona. Łazienka duża razem z wc, wyposażona w sprzęt AGD ( min. pralkę). Przedpokój. Drzwi wejściowe antywłamaniowe. Do mieszkania przynależy miejsce postojowe w garażu podziemnym na poziomie (-1) w tm samym budynku. Zjazd do garażu bezpośrednio windą.
Mieszkanie czyste, gotowe do zamieszkania.
czynsz najmu za mieszkanie i miejsce garażowe - 1840 PLN
czynsz do administracji - 860 PLN ( uwzględnia zaliczki na wodę, ogrzewanie, śmieci)
dodatkowo opłata za energię elektryczną według odczytów licznika.
Kaucja - 2700 PLN
Najem okazjonalny minimum na 12 miesięcy.
Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Beata Wyrzyk (licencja nr: 1837)
-
W celu uzyskania dodatkowych informacji o ofercie jak również chęci obejrzenia nieruchomości proszę o kontakt telefoniczny lub w formie e-meil z pozostawieniem numeru telefonu kontaktowego. Mając na uwadze ochronę danych naszych klientów informuję, że nie będą udostępniane żadne dane adresowe nieruchomości przed zawarciem umowy o współpracy ( umowa pośrednictwa) z osobą potencjalnie zainteresowaną. Umowa pośrednictwa określa warunki wzajemnej współpracy, ustaloną wysokość wynagrodzenia za wskazaną usługę. Informuję, że sama prezentacja każdej nieruchomości na podstawie zawartej umowy pośrednictwa jest bezpłatna.Wynagrodzenie jest wymagalne zgodnie z zawartą ww. umową.","czynsz najmu za mieszkanie i miejsce garażowe - 1840 PLN
czynsz do administracji - 860 PLN ( uwzględnia zaliczki na wodę, ogrzewanie, śmieci)
Kaucja - 2700 PLN
Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Beata Wyrzyk (licencja nr: 1837)",czynsz do administracji: 860 PLN,860
https://www.otodom.pl/pl/oferta/kordeckiego-27-praga-pld-przytulne-studio-ID4tGFN,1890,0,"Opis lokalu:
-50% ZA NAJEM W JEDNYM MIESIĄCU!
*Studio na parterze w kamienicy z 1936 roku przy ul. Kordeckiego 27 w Warszawie
*Zelona, cicha i spokojna okolica
*Grochów, świetny punkt komunikacyjny, zaledwie 190 metrów do przystanku tramwajowego
*Dojazd tramwajem do centrum ok. 20 min, do Uniwersytetu SWPS 15 minut
*W pobliżu liczne sklepy, fitness, przychodnie, kawiarnie, restauracje
Wyposażenie:
*Salon: narożnik rozkładany, szafa, stół + krzesło
*Kuchnia: lodówka, okap, 2-palnikowa płyta indukcyjna, mikrofalówka, pralka, zlewozmywak
*Łazienka: prysznic, WC, umywalka
*
*Feel free to contact me/ Свяжитесь с нами.
Otoczenie:
Apteka - 180 m, Bankomat - 400 m, Centrum handlowe - 400 m, Fryzjer - 110 m, Kawiarnia - 550 m, Park - 850 m, Poczta - 190 m, Przychodnia - 120 m, Restauracja - 800 m, Siłownia - 1 600 m, Sklep nocny - 750 m, Sklep spożywczy - 200 m, Szpital - 2 700 m
Dojazd:
Odległość do przystanku autobusowego - 120 m, Autobusy nr - 135, N21, N71, Odległość do przystanku tramwajowego - 190 m, Tramwaje - 3, 6, 9, 24
Cena najmu:
1890 zł
Opłaty administracyjne:
400 zł/1 osoba; 540 zł/2 osoby;
Średnie opłaty za media:
70 zł/1 osoba; 100 zł/2 osoby;
Suma opłat:
2 360 zł/1 osoba; 2 530 zł/2 osoby;
Zadzwoń - Skontaktuj się lub napisz
Wymagana kaucja.
Zarezerwuj zdalnie !!
Zadzwoń lub napisz
Telefon:
Skontaktuj się
E-mail:

Lokal dostępny do oglądania 7 dni w tygodniu, także w święta

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()","*Studio na parterze w kamienicy z 1936 roku przy ul. Kordeckiego 27 w Warszawie
*Grochów, świetny punkt komunikacyjny, zaledwie 190 metrów do przystanku tramwajowego
Apteka - 180 m, Bankomat - 400 m, Centrum handlowe - 400 m, Fryzjer - 110 m, Kawiarnia - 550 m, Park - 850 m, Poczta - 190 m, Przychodnia - 120 m, Restauracja - 800 m, Siłownia - 1 600 m, Sklep nocny - 750 m, Sklep spożywczy - 200 m, Szpital - 2 700 m
Odległość do przystanku autobusowego - 120 m, Autobusy nr - 135, N21, N71, Odległość do przystanku tramwajowego - 190 m, Tramwaje - 3, 6, 9, 24
1890 zł
400 zł/1 osoba; 540 zł/2 osoby;
70 zł/1 osoba; 100 zł/2 osoby;
2 360 zł/1 osoba; 2 530 zł/2 osoby;","Czynsz administracyjny: 400 zł/1 osoba  
Czynsz administracyjny: 540 zł/2 osoby  
Zaliczka na media: 70 zł/1 osoba  
Zaliczka na media: 100 zł/2 osoby  ",570
https://www.otodom.pl/pl/oferta/jasna-czysta-i-przytulna-kawalerka-ID4uv3W,1899,0,"Na wynajem przytulna kawalerka.

Powierzchnia mieszkania to 25,0 m2.
Mieszkanie składa się z:
- jasnego pokoju,
- jasnej kuchni,
- łazienki,
- przedpokoju.

Lokal czysty, bardzo cichy i słoneczny.

Mieszkanie wyposażone jest we wszystkie niezbędne sprzety: kuchenkę elektryczną, lodówkę, pralkę, odkurzacz oraz naczynia.
W pokoju rozkadana wersalka, komoda, regał, rozkładany stół, krzesła i stolik nocny.
W przedpokoju dwie szafy.

Najemca: wyłącznie osoby pełnoletnie, niepalące, bez zwierząt, porozumiewający sie płynnie w języku polskim.

Lokal znajduje sie w bliskiej odległości od przystanków tramwajowych i autobusowych, oraz sklepów i punktów usługowych.

Koszty miesięczne:
-1900 PLN ( w tym czynsz administracyjny z zaliczką na wodę i ciepło)
-zaliczka na rachunek za prąd  - 100 PLN miesięcznie.

Formuła najmu okazjonalnego.

Zapraszamy.","-1900 PLN ( w tym czynsz administracyjny z zaliczką na wodę i ciepło)
-zaliczka na rachunek za prąd  - 100 PLN miesięcznie.","czynsz administracyjny: 1900 PLN  
zaliczka na rachunek za prąd: 100 PLN",100
https://www.otodom.pl/pl/oferta/kawalerka-35-m2-1900-wraz-z-czynszem-ID4uKXT,1900,0,"Kawalerka 35 m2: pokój z aneksem kuchennym. Zamknięte i strzeżone osiedle. Kameralna okolica. W okolicy Park Strumykowa z wydzieloną częścią spacerowo-wypoczynkową z alejkami oraz ławkami. 
Obok osiedla znajduje się Żabka, Pizzeria oraz dodatkowe kompleksy handlowe i punkty usługowe. Doskonałą komunikacją z resztą miasta. 
Kwota 1900 obejmuje już czynsz wraz z zaliczkami na poczet przewidywanego zużycia. Energia płatna dodatkowo zgodnie z zużyciem. 

Mieszakanie składa się z:
- pokoju dziennego z częścią wypoczynkową wyposażoną w: rozkładaną kanapę, stołem i krzesłami, komodą wraz z telewizorem oraz dużą szafę -> pokój połączony jest z ankesem kuchennym,
- aneksu kuchennego, w pełni wyposażonego (brak zmywarki), kuchnia jest gazowa,
- łazienki, w której znajduje się wanna, toaleta, umywalka oraz pralka
- przestronnego przedpokoju z dużą ilościa szaf.
Polecam bardzo. ",Kwota 1900 obejmuje już czynsz wraz z zaliczkami na poczet przewidywanego zużycia. Energia płatna dodatkowo zgodnie z zużyciem. ,"czynsz administracyjny: 1900  
zaliczki na media: wliczone w czynsz  
energia: płatna dodatkowo zgodnie z zużyciem",100
https://www.otodom.pl/pl/oferta/umeblowana-kawalerka-przy-galerii-mokotow-ID4uybu,1900,0,"Oferujemy do wynajęcia 1 pokojowe mieszkanie (31m2) w zielonej okolicy przy ul. Stefana Bryły na Mokotowie . Mieszkanie usytuowane jest w niedalekim sąsiedztwie Galerii Mokotów oraz największego centrum biznesowego w Warszawie potocznie nazywanego MORDOREM. Mieszkanie jest w pełni umeblowane i wyposażone w sprzęt AGD.
LOKALIZACJA:
Mieszkanie jest bardzo dobrze skomunikowane z pozostałymi dzielnicami Warszawy. W bezpośrednim sąsiedztwie liczne przystani autobusowe, tramwajowe oraz stacja metra ""Wilanowska"". W okolicy liczne sklepy oraz punkty usługowe i gastronomiczne. Do CH Galeria Mokotów ok. 10 min. piechotą.
KOSZTY:
Czynsz najmu: 1900 zł
Opłaty administracyjne: ok. 670 zł (do potwierdzenia w dniu podpisania umowy najmu)
Media: wg. liczników (zaliczka 150 zł 1/os. + 70 zł każda kolejna)
Kaucja: 3000 zł
Prowizja dla agencji: 1900 zł
DO PODPISANIA UMOWY NIEZBĘDNE JEST ZAŚWIADCZENIE O ZATRUDNIENIU ORAZ ŚREDNICH DOCHODACH NETTO ZA OSTATNIE TRZY MIESIĄCE
***mieszkanie wyłącznie w ofercie Fiesta Zarządzanie Najmem***
GORĄCO POLECAM I ZAPRASZAM DO OGLĄDANIA.

*Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów kodeksu cywilnego.*
Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()","Czynsz najmu: 1900 zł
Opłaty administracyjne: ok. 670 zł (do potwierdzenia w dniu podpisania umowy najmu)
Media: wg. liczników (zaliczka 150 zł 1/os. + 70 zł każda kolejna)
Kaucja: 3000 zł
Prowizja dla agencji: 1900 zł","opłaty administracyjne: 670 zł  
media: zaliczka 150 zł 1/os. + 70 zł każda kolejna",820
https://www.otodom.pl/pl/oferta/nowa-kawalerka-praga-poludnie-bezposrednio-ID45h0e,1900,0,"Witam,

Mam do wynajęcia kawalerkę przy ul. Nasielskiej. Mieszkanie jest w pełni umeblowane, po kapitalnym remoncie.
Mieszkanie wolne od 10.01.25

ATUTY MIESZKANIA:
- pełne umeblowanie: kuchnia: lodówka, płyta indukcyjna, mikrofalówka, stolik, sypialnia: łóżko z pojemnikiem, szafa na ubrania, łazienka: kabina prysznicowa, pralka, umywalka.
- Jest piwnica około 4 metrowa. Przed budynkiem i w okolicy dużo miejsc postojowych bezpłatna strefa parkowania. 
- cicha i spokojna okolica, sporo zieleni.
- Internet w cenie najmu
- osiedle mieszkaniowe o niskiej zabudowie (4 piętra) 

LOKALIZACJA
- w pobliżu inwestycji znajduje się przedszkole, szkoła, biedronka i żabka - 50 metrów
- bardzo dobra lokalizacja pod względem szerokiej infrastruktury miejskiej i usługowej. Do przystanku autobusowego 120-150 metrów. 4 linie autobusowe dzienne i 2 nocne łączące Pragę Południe ze Śródmieściem (autobus 102, 188 i 523), Wolą (102, 523), Bemowem (523), Ochotą (188, 523). Oprócz tego autobus 202 (tylko Praga) oraz 2 nocne: (N21 i N71). 
- Kilka minut do stacji Olszynka Grochowska – linie Kolei Mazowieckiej R7 (połączenie z Józefowem, Piastowem, Falenicą i oczywiście centrum Warszawy). Linia kolei miejskiej – S1 (połączenie z Pruszkowem, Piastowem, Falenicą itd.).Pełny dostęp do zaplecza użytkowego: w pobliżu 3 przedszkola, szkoła podstawowa plac zabaw, sklepy spożywcza, apteka, szpital, fryzjer bank itd.

DODATKOWE INFORMACJE:
- Kaucja zwrotna dla właściciela w wysokości 1 miesięcznego najmu
- Jest to idealna propozycja dla osób ceniących doskonałą lokalizację oraz wysoki standard 
- Preferowany okres wynajmu min. 12 miesięcy lub więcej.
- Akceptuję małe zwierzęta
- Nielimitowany, szybki INTERNET GRATIS.
Cena wynajmu: 1.900 zł + 550 zł czynsz + energia wg. licznika

nie współpracuje z biurami nieruchomości.

pozdrawiam
Wojtek","- bardzo dobra lokalizacja pod względem szerokiej infrastruktury miejskiej i usługowej. Do przystanku autobusowego 120-150 metrów. 4 linie autobusowe dzienne i 2 nocne łączące Pragę Południe ze Śródmieściem (autobus 102, 188 i 523), Wolą (102, 523), Bemowem (523), Ochotą (188, 523). Oprócz tego autobus 202 (tylko Praga) oraz 2 nocne: (N21 i N71). 
Cena wynajmu: 1.900 zł + 550 zł czynsz + energia wg. licznika","czynsz: 550 zł  
energia: wg. licznika",550
https://www.otodom.pl/pl/oferta/2-pokoje-z-miejscem-postojowym-ID.4urbx,1900,0,"|
OFERTA ZAREZERWOWANA DO 25 STYCZNIA 2025r.
Zapraszam do zapoznania się z innymi propozycjami na
Polecam do wynajęcia ładne, przytulne mieszkanie z miejscem postojowym o powierzchni całkowitej ok. 55m2, powierzchni użytkowej bez skosów - 36.9 m2. Mieszkanie ciche, na poddaszu, na 3 piętrze, w budynku bez windy.
Adres - ul. Wyspowa 8, osiedle zamknięte, pełne zieleni, placami zabaw dla dzieci, z przynależnym miejscem postojowym naziemnym.
Mieszkanie dwupokojowe o rozkładzie - pokój dzienny częściowo umeblowany połączony z aneksem kuchennym - szafki, zmywarka, lodówka, piekarnik, kuchenka indukcyjna; łazienka z kabiną prysznicową, pralką, szafkami; przedpokój z z szafami wnękowymi oraz sypialnia z łóżkiem.
W sypialni na podłodze wykładzina dywanowa, w pokoju panele. Mieszkanie dobrze doświetlone oknami połaciowymi.
Lokalizacja - blisko sklepiki osiedlowe, apteka, ALDI, Galeria Łodygowa. Dogodny dojazd do metra Trocka, metra Kondratowicza - aut. 262, 145, 245.
Kwota czynsz najmu 1900 zł przy wpłacie terminowej plus opłaty dla administracji 539 zł (w opłatach dla administracji zawarte są zaliczki za wodę i CO rozliczane według zużycia oraz opłata za miejsce postojowe) plus opłata za energię elektryczną. Wymagana kaucja. Do wynajęcia od 1 lutego 2025r.
::DODATKOWE INFORMACJE |
Rodzaj budynku: budynek wielorodzinny |
Dozór budynku: os. zamknięte i strzeżone |
Głośność: ciche |
Widok: na osiedle |
Gaz: brak |
Woda: ciepła - miejska |
Dojazd: asfalt |
Otoczenie: zabudowa wielorodzinna |
Ogrzewanie: C.O. miejskie |
Komunikacja publ.: MZK, miejska |
Winda: NIE |
Usytuowanie: narożne |
Naziemn. miejsc parking.: 1 |
Opłaty wg liczników: woda, prąd, CO |
Rodzaj mieszkania: poddasze |
Garaż: miejsce postojowe przed budynkiem |
Stan lokalu: do wprowadzenia |
Okna: PCV |
Instalacje: dobre |
Balkon: brak |
Rok budowy: 2004 |
Liczba pokoi: 2 |
Liczba sypialni: 1 |
Podłogi pokoi: panele |
Wyposażenie pokoi: stół, meble - nowego typu, łóżko 2 os., krzesła, kanapa |
Typ kuchni: aneks kuchenny - połączony z jadalnią |
Rodzaj kuchni: aneks kuchenny połączony z jadalnią i salonem |
Podłoga kuchni: terakota |
Wyposażenie kuchni: zmywarka, zlewozmywak z baterią, szafki kuchenne, płyta indukcyjna, lodówko/zamrażarka |
Typ łazienki: razem z wc |
Liczba łazienek: 1 |
Wyposażenie łazienki: WC, umywalka, prysznic, pralka, lustro |
Wyposażenie dodatkowe: szafki |
Liczba przedpokoi: 1 |
Wyposażenie przedpokoi: szafa typu Komandor |
Kaucja zabezp. [zł]: 2500 |

::LINK DO STRONY |
::KONTAKT DO AGENTA |
Irena Czarkowska |
Skontaktuj się |
::DANE BIURA |
Agencja Nieruchomości Wigro Groszyk AGR - Oddział I w Warszawie |
ul. Elektoralna 11 lok.5 |
00-137 Warszawa |
Skontaktuj się |
|","OFERTA ZAREZERWOWANA DO 25 STYCZNIA 2025r.
Lokalizacja - blisko sklepiki osiedlowe, apteka, ALDI, Galeria Łodygowa. Dogodny dojazd do metra Trocka, metra Kondratowicza - aut. 262, 145, 245.
Kwota czynsz najmu 1900 zł przy wpłacie terminowej plus opłaty dla administracji 539 zł (w opłatach dla administracji zawarte są zaliczki za wodę i CO rozliczane według zużycia oraz opłata za miejsce postojowe) plus opłata za energię elektryczną. Wymagana kaucja. Do wynajęcia od 1 lutego 2025r.
Rok budowy: 2004 |
Kaucja zabezp. [zł]: 2500 |
00-137 Warszawa |","opłaty dla administracji: 539 zł  
opłata za energię elektryczną: wartość nieokreślona",539
https://www.otodom.pl/pl/oferta/piekna-kawalerka-dla-singla-niedaleko-metra-ID4kNqd,1900,0,"Najważniejsze informacje:
- Proszę o telefon od poniedziałku do piątku od 10.00 do 17.00;
- Przykro mi, nie odpowiadam na SMSy (nie nadążam, proszę o telefon);
- Przeznaczone dla singla lub pary;
- Całkowity koszt wynajmu: 2.435,99 zł + prąd;
- Przed telefonem obejrzyj najpierw wirtualny spacer;
- Weryfikujemy dochód i bazy dłużników przed zawarciem umowy;
- Umowa zawierana przed notariuszem na minimum rok;
- Osoby nieposługujące się językiem polskim muszą sobie zapewnić tłumacza przysięgłego we własnym zakresie.
Pierwsze o co zapytam po odebraniu telefonu to ulica na jakiej znajduje się mieszkanie oraz całkowity koszt wynajmu (znajduje się na dole ogłoszenia) Proszę o telefon od poniedziałku do piątku w godzinach 10.00 - 17.00 po wcześniejszym obejrzeniu Wirtualnego Spaceru.
UWAGA: Możesz uprzedzić innych zainteresowanych i zarezerwować mieszkanie zdalnie wpłacając połowę kaucji (po wcześniejszym podpisaniu umowy rezerwacyjnej online)!
Niewielka kawalerka o powierzchni 22 m2 znajdująca się na czwartym piętrze (bez windy) w budynku przy ul. Szymczaka 2 na Woli niedaleko ronda Daszyńskiego. Mieszkanie w sam raz dla singla.
Salon został odmalowany i odświeżony. Wyposażony jest w rozkładaną, wygodną kanapę która w ciągu dnia pozwoli nam komfortowo rozsiąść się i przeczytać książkę lub obejrzeć telewizję, a w nocy zapewni nam regenerujący sen. Znajdziesz tam dodatkowo dużą, trzyskrzydłową szafę gotową pomieścić Twoje rzeczy oraz niewielki stolik z dwoma krzesłami pozwoli na złapanie czegoś na ząb.
Niewielka, dobrze przemyślana kuchnia wyposażona jest w lodówkę, płytę grzewczą oraz mikrofalówkę w zabudowie. W zupełności wystarczy jeśli nie planujesz jakichś wystawnych obiadów.
W łazience znajdziesz kabinę prysznicową, toaletę, pralkę oraz umywalkę z lustrem. W przedpokoju natomiast są wieszaki na odzież wierzchnią.
Całość idealnie sprawdzi się przy jednej osobie dorosłej, która chce mieć szybki dojazd do centrum. Do ronda ONZ raptem 15 min komunikacją miejską. W pobliżu autobusy linii 105, 109, 136, 155, 171, 178, 190, 255 i tramwaje 11, 13, 26, 27 i 70.
Czynsz wynajmu wraz z czynszem administracyjnym i zaliczkami na media: 2.435,99 zł (+ prąd przepisywany na najemcę).
Umowa najmu zawierana przed notariuszem na minimum rok czasu. Wymagany oficjalny dochód oraz kaucja.
Osoby nie posługujące się językiem polskim muszą zorganizować sobie tłumacza przysięgłego we własnym zakresie.","- Całkowity koszt wynajmu: 2.435,99 zł + prąd;
Całość idealnie sprawdzi się przy jednej osobie dorosłej, która chce mieć szybki dojazd do centrum. Do ronda ONZ raptem 15 min komunikacją miejską. W pobliżu autobusy linii 105, 109, 136, 155, 171, 178, 190, 255 i tramwaje 11, 13, 26, 27 i 70.
Czynsz wynajmu wraz z czynszem administracyjnym i zaliczkami na media: 2.435,99 zł (+ prąd przepisywany na najemcę).","czynsz administracyjny: 535,99",535
https://www.otodom.pl/pl/oferta/zoliborz-kawalerka-na-wynajem-blisko-metra-ID4ucKz,1900,0,"Tylko u nas
Warszawa, Żoliborz, ul. Krasińskiego 29, kawalerka na wynajem.
Idealna dla singla!
Prezentujemy kawalerkę na wynajem w bardzo dobrej lokalizacji. Zadbany niski budynek, klatka po remoncie.
W pobliżu bardzo dobra komunikacja - autobusy, tramwaje. Do stacji metra Plac Wilsona tylko 600m.
Mieszkanie położone na I piętrze kamienicy, ciche - okna wychodzą na zadbane wewnętrzne patio. Na patio wiata rowerowa.
Lokal umeblowany jak na zdjęciach.
Do lokalu przynależy piwnica.
Warunki najmu:
- umowa najmu okazjonalnego na min. 12 m-cy
- czynsz najmu 1900 zł /m-c
- czynsz administracyjny 392,27 zł /m-c
- wg zużycia opłata za gaz wg rachunków od Dostawcy
- wg zużycia opłata za prąd wg rachunków od Dostawcy
- Kaucja 1900 zł
- Bez zwierząt, dla niepalących.
POLECAM I ZAPRASZAM - możliwość oglądania również w weekendy, po wcześniejszym umówieniu terminu.
Prowizja za pośrednictwo przy wynajęciu mieszkania wynosi 50% jednomiesięcznego czynszu (płatna jednorazowo przy podpisaniu umowy najmu). Prezentacja i oglądanie nieruchomości bezpłatne.
::KONTAKT DO AGENTA
Żaneta Tereszczenko
Skontaktuj się
Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Żaneta Tereszczenko (licencja nr: 14335)","W pobliżu bardzo dobra komunikacja - autobusy, tramwaje. Do stacji metra Plac Wilsona tylko 600m.
- czynsz najmu 1900 zł /m-c
- czynsz administracyjny 392,27 zł /m-c
- Kaucja 1900 zł
Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Żaneta Tereszczenko (licencja nr: 14335)","czynsz administracyjny: 392,27 zł",392
