link,is_furnished,apartment_class
https://www.otodom.pl/pl/oferta/2-oddzielne-pokoje-powisle-balkon-tramwaj-metro-ID4tI8c,1,basic
https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-wola-55m2-platinum-residens-ID4sLuf,1,superior
https://www.otodom.pl/pl/oferta/bezposrednio-warszawa-mlociny-ID4tI5t,1,basic
https://www.otodom.pl/pl/oferta/metro-garaz-w-cenie-okazja-ID4tI3k,1,basic
https://www.otodom.pl/pl/oferta/mieszkanie-blisko-metra-mlynow-od-zaraz-ID4tI8r,1,standard
https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-na-starych-bielanach-ID4tI1X,1,basic
https://www.otodom.pl/pl/oferta/osiedle-amsterdam-33m2-2-pokoje-ID4tI42,1,standard
https://www.otodom.pl/pl/oferta/patria-3-bedrooms-2-bath-air-cond-terrace-ID4taT7,1,premium
https://www.otodom.pl/pl/oferta/pierwszy-wynajem-nowoczesne-bez-prowizji-ID4tIrW,1,superior
https://www.otodom.pl/pl/oferta/po-remoncie-komfortowe-42-m2-blisko-wum-i-okecia-ID4tIcS,1,standard
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-niedaleko-metra-trocka-ID4tIkg,1,standard
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-parking-ID4tI58,1,standard
https://www.otodom.pl/pl/oferta/rezerwacja-30-m-loggia-garaz-bezposrednio-ID4tIis,1,standard
https://www.otodom.pl/pl/oferta/2-pokojemetro-wierzbnoumeblowanepo-remoncie-ID4tJgA,1,standard
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-powislu-ID4tJjz,1,superior
https://www.otodom.pl/pl/oferta/apartament-46-m2-metro-przy-rondo-daszynkiego-ID4tIPH,1,standard
https://www.otodom.pl/pl/oferta/apartament-w-budynku-z-sauna-silownia-recepcja-ID4tAzu,1,standard
https://www.otodom.pl/pl/oferta/bielany-3-pokoje-blisko-metra-wynajem-od-zaraz-ID4sNdw,1,standard
https://www.otodom.pl/pl/oferta/funkcjonalne-3-pokojowe-mieszkanie-ID4sRsS,1,standard
https://www.otodom.pl/pl/oferta/kawalerka-z-garazem-ID4tJHP,1,standard
