added_dt,link,district,found_district,title,adv_description,misleading_location,real_location,real_district,maps_herf
02.12.2024 00:00,https://www.otodom.pl/pl/oferta/apartament-46-m2-metro-przy-rondo-daszynkiego-ID4tIPH,Wola,ochota,"Apartament 46 m2, Metro, przy Rondo Daszyńkiego","APARTAMENT 46 m2, METRO, PRZY RONDO DASZYŃSKIEGO, UL. GIEŁDOWA
Oferujemy do wynajęcia apartament 46 m2. Znakomita lokalizacja przy ul. Giełdowej, w nowoczesnym strzeżonym kompleksie apartamentowym CAPITAL ART APARTAMENTS. Całodobowa recepcja i ochrona. Osiedle z zadbanym wewnętrznym terenem, zielenią i ławeczkami, do wykorzystania wyłącznie dla mieszkańców i ich gości.
Mieszkanie jest w pełni wyposażone, umeblowane. Zaaranżowane w tonacji szarości i bieli. Na wyposażeniu mieszkania: SMART TV, lodówka z zamrażarką, piekarnik, mikrofala, płyta grzewcza, zmywarka, odkurzacz, czajnik elektryczny, pralka. Mieszkanie jest położone na drugim piętrze, posiada balkon ok. 8 m2.
Apartament składa się z:
·        sypialnia  13 m2 z wyjściem na balkon
·        salon z aneksem kuchennym 25 m2, z wyjściem na balkon
·        przedpokój 2 m2
·        łazienka 6 m2z wanną
·        balkon 8 m2
Lokalizacja:
·        stacja metra RONDO DASZYŃSKIEGO (ok. 5 minut pieszo)
·        wieżowce WARSAW HUB, SKYLINER, WARSAW SPIRE, WARSAW UNIT (ok. 6-10 minut pieszo)
·        BROWARY WARSZAWSKIE, FABRYKA NORBLINA (ok. 14 minut pieszo)
·        ZŁOTE TARASY (ok 25 minut pieszo)
·        liczne przystanki autobusowe i tramwajowe (4 minuty pieszo)
·        PKP Warszawa Ochota, PKP Warszawa Główna (10 minut pieszo)
·        w najbliższych biurowcach oddziały międzynarodowych korporacji i dużych krajowych firm
·        bezpieczna okolica, położenie osiedla tuż przy centralach instytucji bankowych
·        liczne sklepy, kawiarnie, restauracje, salony beauty wokół osiedla
·        ścieżki rowerowe, stacje Veturilo, paczkomaty  
Warunki najmu:
·        najem 4800 zł plus czynsz 1000 zł (w tym 150 zł energia elektryczna)
·        umowa najmu okazjonalnego, preferowane 12 miesięcy
·        mieszkanie dostępne od 02.12.2023 
·        kaucja 10000 zł
Kontakt: Agnieszka, tel. Skontaktuj się",False,,,
06.12.2024 00:00,https://www.otodom.pl/pl/oferta/po-remoncie-2-pokoje-na-olszynce-g-ID4tO63,Srodmiescie,"praga, praga",Po remoncie 2 pokoje na Olszynce G.,"Zapraszam do zapoznania się z ofertą dwupokojowego lokalu na wynajem, po generalnym remoncie.

Lokal znajduje się na ul. Makowskiej 33 po sąsiedzku z Rezerwatem Przyrody Olszynki Grochowskiej. Budynek w bardzo dobrym stanie technicznym z windą, wejście zabezpieczone domofonem.

Lokal: Świeżo po generalnym remoncie, wyposażone w meble kuchenne, szafy IKEA oraz sprzęt AGD.
Na powierzchni 36 m2 znajdują się:

✅ salon z aneksem kuchennym ok. 24 m2 z dużym oknem oraz oknem balkonowym typu francuskiego, w salonie znajduje się: stół, stołek, rozkładana kanapa, dywan, zasłony, w pełni wyposażony aneks kuchenny: zmywarka, płyta indukcyjna gazowa, piekarnik, okap, lodówko-zamrażarka,
✅ sypialnia ok. 8,50 m2 z dużą szafą
✅ łazienka ok. 3 m2 z pralką
✅ przedpokój ok. 3,30 m2 z dużą szafą
✅ piwnica

Infrastruktura:
Sklepy: Żabka, Cukiernia, Sklep spożywczy „Aga”, Centrum Handlowe Auchan, King Cross Praga, Castorama. W okolicy plac zabaw, żłobek, kawiarnia, stacja benzynowa, Park miejski z Clubem tenisowym, pływalnia Szuwarek.

Komunikacja miejska/samochód:
Tramwaje: 3,6,9,24 – 650m do przestanku.
Autobusy: 125, 142, 143, 145, 173, 183, 521, 702, 704, 720, 722, 730, N21, N24, N71) – z przystanku Gocławek 07 na ul. Grochowskiej oraz 188, 202- przystanek PKP Gocławek ul. Makowska,
Pociag: PKP Warszawa Olczynka Grochowska, Warszawa Gocławek.
Pod blokiem znajduje się parking przeznaczony do użytku ogólnego.

Cena najmu wynosi 2.500 zł + czynsz administracyjny ok. 500 zł + dodatkowo opłaty za energię elektryczną oraz gaz wg zużycia.

Wymagana umowa najmu okazjonalnego z notarialnym oświadczeniem o poddaniu się egzekucji oraz notarialnie poświadczonym podpisem osoby udostępniającej lokal, ubezpieczenie OC Najemcy oraz kaucja w wysokości 3000 zł.

Serdecznie zapraszam do kontaktu i umówienia się na prezentację.
Kinga Arceusz


""Właścicielem ogłoszenia wraz z jego elementami jest Freedom Nieruchomości Sp. z o.o. lub podmioty współpracujące. Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Freedom Nieruchomości Sp. z o.o. lub podmiotów współpracujących jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej.

Ponadto niniejsze materiały stanowią tajemnicę przedsiębiorstwa Freedom Nieruchomości Sp. z o.o. lub podmiotów współpracujących w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.). Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.""

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",True,"ul. Makowskiej 33, Praga Południe",Praga_Poludnie,"https://www.google.com/maps/place/Makowska+33,+04-208+Warszawa/@52.242308,21.1200481,17z/data=!3m1!4b1!4m6!3m5!1s0x471ed20a700ce9a5:0x4fc7329a574407b7!8m2!3d52.242308!4d21.122623!16s%2Fg%2F11snq0mjcc?entry=ttu&g_ep=EgoyMDI1MDMxMi4wIKXMDSoASAFQAw%3D%3D"
07.12.2024 00:00,https://www.otodom.pl/pl/oferta/mieszkanie-premium-dostepne-od-zaraz-ID4tlNt,Ursynow,"mokotów, mokotowie","Mieszkanie Premium, Dostępne Od Zaraz","Mamy przyjemność zaprezentować Państwu 3 pokojowe, gotowe do wprowadzenia mieszkanie w standardzie PREMIUM na piątym piętrze na Mokotowie. Apartament jest gotowy do wprowadzenia z pełnym wyposażeniem widocznym na zdjęciach.

Lokalizacja:
Budynek znajduje się w otoczeniu nowych apartamentowców oraz zabudowy biurowej. Miejsce jest doskonale skomunikowane - autobus i tramwaj, którym szybko dojedziemy do stacji metra.
W najbliższym otoczeniu restauracje i pełna infrastruktura miejska, bliskość Galerii Mokotów oraz świetny dojazd do lotniska jak i do centrum miasta jest niezaprzeczalnym atutem.

Standard wykończenia:
Apartament został zaprojektowany przez doświadczonych architektów z dbałością o każdy detal i przy użyciu wysokiej jakości materiałów.
Kuchnia została zaprojektowana i wykonana przez firmę RUST. Glazura w łazienkach projektu Macieja Zień, firany projekt i wykonanie Eurofirany, kolekcja Ewy Minge oraz Pierre Cardin. Na podłodze ułożono gres hiszpański w sypialni wykładzina Komfort. Apartament jest klimatyzowany.

Rozkład pomieszczeń:
- Salon z aneksem kuchennym 33,64 m2
- Hol 4,86 m2
- Przedpokój 7,66 m2
- Pokój 14,14 m2
- Pokój 11,84 m2
- Łazienka 3,37 m2
- Łazienka 6,4 m2
- Taras 7,32 m2
- Balkon 9,77 m2

Informacje dodatkowe:
Budynek został oddany do użytku w 2022 roku. W budynku znajduje się recepcja. Obiekt jest chroniony i monitorowany. Na wewnętrznym, zielonym patio. 

Dostępne jest standardowe miejsce parkingowe w garażu podziemnym. Budynek jest cichy w spokojnej okolicy, z ochrona 24/H.
Preferencje dotyczące najemcy: osoba dbająca o porządek, bez zwierząt. Umowa minimum na 24 miesięcy, najem okazjonalny. 
Do czynsz najmu należy doliczyć czynsz administracyjny 1.500 zł, zużycie energii elektrycznej oraz mediów powyżej zaliczek. Opłata za internet znajduje się w czynszu najmu. 
Kaucja 11.000 zł. 

Gorąco polecam tę ofertę i zapraszam na prezentację, naprawdę warto!

Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",False,,,
07.12.2024 00:00,https://www.otodom.pl/pl/oferta/stegny-3-pokoje-widna-kuchnia-wynajme-ID4tHfK,Mokotow,ursus,Stegny-3 pokoje-widna kuchnia-wynajmę,"Do wynajęcia - Stegny - 3 oddzielne pokoje, loggia, kuchnia, łazienka.
Mieszkanie w pełni urządzone i umeblowane.
Mieszkanie ciepłe, ciche, słoneczne, z ładnym widokiem.
Bardzo dobra lokalizacja ze znakomitą komunikacją autobusową.
W pobliżu CH Sadyba Best Mall, banki, apteka, przychodnia, restauracja, kwiaciarnia, cukiernia, poczta itp.
Płatności: czynsz w kwocie 2850 zł + czynsz do Spółdzielni Mieszkaniowej w kwocie 750 zł + liczniki.
Wymagana kaucja w wysokości miesięcznego czynszu (3600 zł).
Wolne od 2 grudnia 2024r.
Zapraszam na prezentację.
Licencja zawodowa w zakresie pośrednictwa w obrocie nieruchomościami nr 22228.
ul. Wojciechowskiego 37 lok. 49
02-495 Warszawa
Galeria URSUS
e-mail:

Telefony kontaktowe:
Skontaktuj się
Skontaktuj się
Skontaktuj się
Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",False,,,
08.12.2024 00:00,https://www.otodom.pl/pl/oferta/80m2-3-pokojowe-al-wilanowska-ID4r0rw,Mokotow,wilanowa,80m2 | 3 Pokojowe | Al. Wilanowska,"Do wynajęcia 3-pokojowe mieszkanie zlokalizowane przy Al. Wilanowska.
ROZKŁAD
Mieszkanie składa się z salonu z półotwartą kuchnią, dwóch pokoi, łazienki z wanną, toalety, oraz balkonu. Kuchnia wyposażona jest we wszystkie niezbędne sprzęty AGD, pralka znajduje się w łazience. Na granicy z salonem jest część jadalniana z dużym stołem. W przedpokoju są zamontowane dwie duże szafy oraz wbudowane półki.
LOKALIZACJA
400 metrów – przystanek autobusowy linii 139, 200, 217, 251, 317, 339, N50 150 metrów – sklep Auchan 400 metrów – sklep spożywczy TopMarket Komunikacją miejską dojazd do Wilanowa w ok. 15 minut, do Metro Wilanowska w ok. 20 minut, do centrum ok. 35 minut. W pobliżu także park Dolina Służewiecka, szkoła podstawowa, przedszkole oraz różne lokale usługowe.
INFORMACJE DODATKOWE
Cena: 4 900 PLN + 905 PLN czynsz administracyjny + 400 PLN zaliczki na media.
W cenie czynszu: miejsce postojowe w garażu podziemnym.
Kaucja: 7 000 PLN
Serdecznie polecam i zapraszam na prezentację!",False,,,
09.12.2024 00:00,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-srodmiesciu-ID4sq4I,Wola,"śródmieście, śródmieściu",2-pokojowe mieszkanie w Śródmieściu,"Mamy przyjemność zaprezentować Państwu 2-pokojowe mieszkanie znajdujące się na Śródmieściu, ul. Złota 75A.
Apartament ma powierzchnie 47 m2 i znajduje się na 4 piętrze. Wyposażone w klimatyzację. Znajduje się w nowym apartamentowcu o wysokim standardzie. Ma wszelkie atuty mieszkania położonego w centrum wielkiego miasta a jednocześnie jest ciche i otoczone zielenią. Apartament jest w pełni wyposażony i gotowy do zamieszkania.
Składa się z przedpokoju, salonu wraz aneksem kuchennym, sypialni i dużej łazienki. W sypialni znajduje się m. in. bardzo pojemna szafa, wygodne łóżko i fotel. Łazienka wyposażona jest w prysznic z deszczownicą i baterią termostatyczną Hans Grohe, pralkę, wc typu Geberit, umywalkę z solidną szafką, podświetlane lustro. Kilka wariantów świetlenia (od nastrojowego do b. jasnego). Salon wyposażony w rozkładaną kanapę, szafkę RTV, Samsung QLED Smart TV 50"", stolik i fotel/-e. Aneks kuchenny wyposażony m.in. w zmywarkę, piekarnik z mikrofalówką, lodówkę z zamrażalnikiem, płytę indukcyjną, mały express do kawy, czajnik elektryczny, stół i krzesła.

LOKALIZACJA

Ulica Złota 75A w Warszawie znajduje się w samym sercu miasta, w pobliżu Złotych Tarasów i Dworca Centralnego. To doskonała lokalizacja, zapewniająca szybki dostęp do głównych arterii komunikacyjnych, zarówno komunikacji miejskiej, jak i międzymiastowej. W okolicy znajdują się liczne restauracje, sklepy, biurowce oraz miejsca kulturalne, co czyni ją idealnym miejscem zarówno do pracy, jak i codziennego życia. Bliskość głównych atrakcji miasta, takich jak Pałac Kultury i Nauki, czyni to miejsce jednym z najbardziej prestiżowych adresów w Warszawie.

CENA

Cena - 5600 PLN + czynsz w wysokości 420 PLN ( zawiera zaliczki na wodę i CO) + media płatne wg liczników (prąd, woda, CO).
Internet z TV - 130 zł.
Jednorazowa kaucja - 7500 PLN.

numer oferty: 689223
Zapraszamy do kontaktu z naszym biurem!

ENG
We are pleased to present you a unique apartment located in Śródmieście. The apartment is finished in a very elegant and peaceful manner, very bright and practical. We invite you to contact us for more information.
We speak PL / UKR / RU / ENG. We provide assistance at every stage.",True,"ul. Złota 75A, Warszawa",Srodmiescie,"https://www.google.com/maps/place/Z%C5%82ota+75a,+00-401+Warszawa/@52.2290382,20.9957538,17.75z/data=!4m6!3m5!1s0x471ecc91e3cbb3c3:0xc81c5930b0937694!8m2!3d52.228977!4d20.9966759!16s%2Fg%2F11j3hkl819?entry=ttu&g_ep=EgoyMDI1MDMxMi4wIKXMDSoASAFQAw%3D%3D"
09.12.2024 00:00,https://www.otodom.pl/pl/oferta/60-m2-przy-forcie-skorosze-ursus-ID4tPtn,Srodmiescie,ursus,"60 m2 Przy Forcie, Skorosze, Ursus","Nowy blok na strzeżonym osiedlu. Przestronne dwupokojowe mieszkanie w pełni wyposażone, gotowe do zamieszkania. Dojazd do centrum - 15 min. Dojazd do węzła Salomea  A2 - 5 min. Dwa duże pokoje, w tym salon z aneksem kuchennym i sypialnia, garderoba, przestronna łazienka i duży balkon. Wyposażone w zabudowę kuchenną z kompletem AGD (piekarnik, płyta indukcyjna, lodówka, zmywarka, okap, zlew). Mieszkanie wyposażone w pralkę i w pełni umeblowane. Przygotowane do montażu klimatyzacji. W garderobie zabudowa. Mieszkanie w nowo wybudowanym zamieszkanym już bloku. Do mieszkania w cenie przynależne miejsce postojowe. Czwarte piętro z windą. Najem na minimum 12 miesięcy. Bez pośredników. Świadectwo energetyczne EK-76 kWh/(m2xrok)
Koszt wynajmu + czynsz do wspólnoty i media. ",True,"Skorosze, Ursus",Ursus,"https://www.google.com/maps/place/Skorosze,+Warsaw,+Warsaw/@52.1922534,20.8979813,16z/data=!4m6!3m5!1s0x471934c1e05982b3:0x8ae8ad31e1cd39a8!8m2!3d52.188616!4d20.9008991!16s%2Fg%2F121ngqwv?entry=ttu&g_ep=EgoyMDI1MDMxMi4wIKXMDSoASAFQAw%3D%3D"
10.12.2024 00:00,https://www.otodom.pl/pl/oferta/blisko-do-stacji-metra-ulrychow-ID4tQw2,Bemowo,wola,Blisko Do Stacji Metra Ulrychów,"3-pokojowe, rozkładowe mieszkanie o powierzchni 71,2 mkw. usytuowanego na parterze na zamkniętym, strzeżonym osiedlu.
Pomieszczenia:
- samodzielny salon z wyjściem na taras
- 2 sypialnie
- widna, oddzielna kuchnia
- łazienka z prysznicem i WC
- łazienka z wanną i WC
- garderoba
- przestronny przedpokój
Do mieszkania przynależy miejsce postojowe w garażu podziemnym.
W budynku jest wózkownia.
Lokalizacja:
- bliskość stacji metra Ulrychów ok. 12 min. pieszo
- przystanki autobusowe
- linia tramwajowa
W okolicy CH Wola Park, Lidl, punkty usługowe.
Umowa najmu okazjonalnego, minimum rok.
Opłaty:
- 4000 zł
- 850 zł czynsz administracyjny
- prąd
- ewentualne dopłaty za wodę, ciepło (w czynszu są zawarte zaliczki)
Kontakt: Anna Skontaktuj się
* Prezentacja nieruchomości wiąże się z obowiązkiem podania swoich danych (imię, nazwisko, PESEL) oraz podpisu na karcie oglądań.
* Niniejsza informacja nie stanowi oferty w rozumieniu Kodeksu Cywilnego. Staramy się, aby informacje dotyczące oferowanych obiektów były możliwie dokładne, kompletne i aktualne. Ze względu jednak na fakt, iż informacje te pochodzą od osób trzecich i nie zawsze dają się zweryfikować, firma WISŁA.NIERUCHOMOŚCI nie ponosi odpowiedzialności za ich dokładność, kompletność oraz aktualność.",False,,,
10.12.2024 00:00,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-22-m2-w-centrum-ID4tRl5,Wola,śródmieściu,Wynajmę Mieszkanie 22 M2 W Centrum,"Wynajmę atrakcyjne mieszkanie jednopokojowe w super lokalizacji przy Anielewicza róg Smoczej

Apartament w Śródmieściu (1,0 km od ścisłego centrum Warszawy) o wysokim standardzie wykończenia.

Rozkład mieszkania:


salon z balkonem - 15,00 m.kw.

aneks kuchenny otwarty na salon (z oknem) - 3,00 m.kw

łazienka z WC - 3,00 m.kw.

przedpokój - 1,5 m.kw.

balkon - 1,5,00m.kw. - wyjście z salonu


Komunikacja:


przystanek tramwajowy - 4 min. pieszo

przystanek autobusowy - 3 min. pieszo

Dworzec Centralny PKP - .8 minut komunikacją miejską,

Lotnisko Chopina - 18 min samochodem

dojazd samochodem do obwodnicy - 3 km


Infrastruktura:


Galeria Arkadia z kinem, siłownią i fitness klubem a także kręgielnią

Galeria Złote Tarasy z kinem, siłownią i fitness klubem a także kręgielnią

Galeria Klif

szkoły, przedszkola

muzea

Lux Med

Kawiarnie i Restauracje

W pobliżu także Park czy Stare Miasto


Koszty:

2600,00zł - czynsz najmu
w tym woda, ścieki i ogrzewanie rozliczane co 6 lub 12 m-cy jak przyjdzie rozliczenie ( dopłata lub zwrot)
~ 100,00zł - energia elektryczna ( według zużycia)
~ 30,00zł - gaz według rachunków
2600,00 zł - kaucja",False,,,
11.12.2024 00:00,https://www.otodom.pl/pl/oferta/apartamanet-na-pograniczu-wilanow-ursunow-mokotow-ID4tln1,Ursynow,"mokotów, wilanów",Apartamanet na pograniczu Wilanów/Ursunów/Mokotów,"Piękny, dwupoziomowy apartament. Ciche osiedle, z całodobową ochroną.
I Poziom- duży hall, garderoba, osobna kuchnia z wyjściem na taras, salon z kominkiem i wyjściem na taras, sypialnia z wyjściem na taras, pomieszczenie gospodarcze, duża łazienka.
II Poziom - 2 sypialnie, łazienka, hall. Mieszkanie umeblowane i wyposażone.
Bardzo dobra komunikacja w każdym kierunku miasta.",False,,,
