rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,approximate_coordinates,adv_description,link
4 679 zł,,"ul. Solec, Solec, Śródmieście, Warszawa, mazowieckie","38,71 m²",2,8/11,apartamentowiec,balkon,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2021,,,,False,"Nowoczesne i Komfortowe Mieszkanie w Vonder Upriver w Powiślu! Pełna Elastyczność, Brak Ukrytych Kosztów! Jesteśmy więcej niż tylko wynajmem – to Twój nowy styl życia w centrum Warszawy! DLACZEGO WYBRAĆ NAS? 
Wynajem bez prowizji od doświadczonego operatora. 
Szybki i prosty proces wynajmu. 
Wszystkie opłaty wliczone w jedną cenę. 
Elastyczny okres najmu. 
Akceptujemy zwierzęta. 
Obsługujemy w 3 językach. 
 O BUDYNKU: Vonder Upriver Mamy coś więcej niż tylko apartamenty! Odkryj 500 mkw. przestrzeni wspólnej: 
Co-Working – idealne do pracy zdalnej. 
Sala Konferencyjna – profesjonalizm na wyciągnięcie ręki. 
Siłownia i Pokój Cardio – dbaj o formę bez wychodzenia z domu. 
Kafeteria i Salon Wspólny – miejsce, gdzie możesz się zrelaksować. 
Ekskluzywny Bar dla Najemców – poznaj swoich sąsiadów przy drinku. 
Pokój Kinowy – seanse filmowe bez wychodzenia z domu. 
Bezpłatne Wydarzenia – od jogi po kulinarne wyprawy smaku. 

O APARTAMENCIE: Luksus w każdym calu: 
Przestronne, jasne 2-pokojowe mieszkanie z balkonem (sypialnia + osobny salon z kuchnią)
W pełni wyposażona kuchnia i łazienka – wprowadź się z walizką. 
Nowoczesny design – od puszystych kołder po sprytne rozwiązania do przechowywania. 
 FINANSE: 
Całkowity koszt miesięczny „all inclusive”: 5679 PLN (4679 zł + stała opłata za rachunki, wifi i dostęp do przestrzeni 1000 zł); cena w ogłoszeniu podana dla umów na okres 1 roku.
Cena ustalana indywidualnie w zależności od wybranego okresu najmu.
Wiosenna Promocja - czynsz podany w ogłoszeniu jest w ramach Wiosennej Promocji 2024. Warunki: nowy najemca w Vonder; wprowadzka do 31.03.24; umowa na 12 miesięcy
Cena ustalana indywidualnie w zależności od wybranego okresu najmu. 
Opcja podziemnego parkingu za dodatkową opłatą. 
Zgoda na zameldowanie. 
Zainteresowany? Skontaktuj się z nami telefonicznie lub przez WhatsApp! Zaobserwuj nas na Instagramie: @vondereurope i bądź na bieżąco z ekskluzywnymi wydarzeniami dla naszych najemców!  Nie czekaj, dołącz do społeczności Vonder Upriver i żyj na własnych zasadach!  
Modern and Comfortable Apartment in Vonder Upriver, Powiśle! Full Flexibility, No Hidden Costs! We are more than just a rental – this is your new lifestyle in the heart of Warsaw! 
WHY CHOOSE US? 
Commission-free rental from an experienced operator. 
Quick and simple rental process. 
All-inclusive pricing. 
Flexible rental period. 
We accept pets. 
Multilingual support in 3 languages. 
ABOUT THE BUILDING: Vonder Upriver We offer more than just apartments! Discover 500 sqm of shared space: 
Co-Working – perfect for remote work. 
Conference Room – professionalism at your fingertips. 
Gym and Cardio Room – maintain your fitness without leaving home. 
Cafeteria and Shared Lounge – relax and unwind. 
Exclusive Tenants' Bar – meet your neighbors over a drink. 
Cinema Room – enjoy movies without going out. 
Free Events – from yoga to culinary adventures. 
ABOUT THE APARTMENT: Luxury in every detail: 
Bright and spacious 1-bedroom apartment with separate kitchen and living-room, also a balcony. 
Fully equipped kitchen and bathroom – move in with just a suitcase. 
Modern design – from fluffy comforters to smart storage solutions. 
FINANCES: 
 Total monthly cost “all inclusive”: 5679 PLN (base rent 4679 zł + flat rate for utilities and shared space access 1000 zł). Price set individually depending on the chosen rental period. 
Spring Promotion - the rent provided in the listing is under our Spring Promotion 2024. Terms: new tenant to Vonder; move in by 31.03.2024; 12 months term.
Option for underground parking at an additional fee. 
Registration at Town Hall (“meldunek”) is allowed. 
Interested? Contact us via phone or WhatsApp! Follow us on Instagram: @vondereurope and stay up-to-date with exclusive events for our tenants! Don’t wait, join the Vonder Upriver community and live life on your own terms!   
Современные и Комфортабельные Апартаменты в Vonder Upriver, Powiśle! Полная Гибкость, Нет Скрытых Сборов! Мы предлагаем не просто аренду – это ваш новый образ жизни в центре Варшавы! ПОЧЕМУ ВЫБРАТЬ НАС? 
Аренда без комиссии от опытного оператора. 
Быстрый и простой процесс аренды. 
Всё включено в стоимость. 
Гибкий период аренды. 
Мы принимаем домашних животных. 
Поддержка на 3 языках. 
О ЗДАНИИ: Vonder Upriver У нас есть нечто больше, чем просто апартаменты! Откройте для себя 500 кв. м общего пространства: 
Ко-воркинг – идеально для удаленной работы. 
Конференц-зал – профессионализм на расстоянии вытянутой руки. 
Тренажерный зал и кардио-комната – заботьтесь о своей форме не выходя из дома. 
Кафетерий и общий лаундж – расслабьтесь и отдохните. 
Эксклюзивный бар для жильцов – познакомьтесь с соседями за напитком. 
Кинозал – смотрите фильмы не выходя из дома. 
Бесплатные мероприятия – от йоги до кулинарных путешествий. 
 ОБ АПАРТАМЕНТАХ: Роскошь в каждой детали: 
Светлая и просторная двухкомнатная квартира с балконом. 
Полностью оборудованная кухня и ванная комната – въезжайте только с чемоданом. 
Современный дизай.
 ФИНАНСЫ: 
Общая ежемесячная стоимость «всё включено»: 5679 PLN (базовая арендная плата 4679 zł+ коммунальные платежи и доступ к общим зонам 1000 zł) 
Весенняя акция — арендная плата, указанная в объявлении, является частью весенней акции 2024 года. Условия: новый арендатор Vonder, заселение до 31.03.2024 и контракт на 12 месяцев. Цена устанавливается индивидуально в зависимости от выбранного периода аренды. 
Возможность подземной парковки за дополнительную плату. 
Регистрация разрешена. 
Заинтересованы? Свяжитесь с нами по телефону или через WhatsApp! Подписывайтесь на нас в Instagram: @vondereurope и следите за эксклюзивными мероприятиями для наших жильцов! Не ждите, присоединяйтесь к сообществу Vonder Upriver и живите по своим правилам!",https://www.otodom.pl/pl/oferta/no-commission-flexible-term-co-working-ID4pFnb
2 900 zł,1 000 zł/miesiąc,"ul. Kazimierza Jeżewskiego, Kabaty, Ursynów, Warszawa, mazowieckie",52 m²,2,3/5,blok,balkon,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",tak,,2004,"tylko dla niepalących, oddzielna kuchnia",,,False,"Bezpośrednio wynajmę ładne 2 pokojowe mieszkanie z oddzielną, widną kuchnią i dużym balkonem dostępnym z dwóch pokojów.
Lokalizacja przy ul. Jeżewskiego (tzw. Aleja Kasztanowa). Naprzeciwko osiedla korty tenisowe i piękny Park Przy Bażantarni (ok. 10 ha) z dużym placem zabaw dla dzieci.
Do stacji metra ok. 10 min na piechotę. Blisko sklepy, bazarek i pozostała infrastruktura.
Mieszkanie gotowe do wprowadzenia.
Opłaty: 2900 zł miesięczny czynsz + 1000 zł czynsz do wspólnoty, w tym zryczałtowane opłaty (prąd, woda, ścieki, śmieci, winda, ochrona).
Kaucja: 3900 zł.",https://www.otodom.pl/pl/oferta/bezposrednio-jezewskiego-al-kasztanowa-ladne-ID4pFeQ
3 400 zł,650 zł/miesiąc,"Piaski, Bielany, Warszawa, mazowieckie",38 m²,2,parter/4,blok,,,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",nie,,,"piwnica, tylko dla niepalących",,,False,"Oferuję do wynajęcia urocze mieszkanie dwupokojowe z widną kuchnią, łazienką z prysznicem i sypialnią, położoną w cichej okolicy na warszawskich Bielanach. Mieszkanie jest po kapitalnym remoncie, jeszcze nie używane. W pełni umeblowane i wyposażone, w tym w sprzęty RTV i AGD (pralka, zmywarka, ekspres do kawy). Znajduje się w kameralnym budynku otoczonym zielenią, na parterze.

Mieszkanie jest dostępne od zaraz, bez prowizji, bez pośredników, bezpośrednio od Właściciela.

Dwa pokoje – 38 m2.

Wygodna kuchnia z klimatyczną wyspą - wyposażona w lodówkę, zmywarkę, piekarnik oraz płytę indukcyjną. Do dyspozycji Najemcy jest także czajnik elektryczny oraz ekspres do kawy, jak również pełna zastawa stołowa, garnki i inne przedmioty niezbędne do komfortowego korzystania z kuchni.

Salon - rozkładana 3 osobowa sofa, komoda, telewizor (Smart TV), szafka RTV, stolik kawowy oraz biurko i stół z dwoma krzesłami.

Sypialnia - w sypialni znajduje się podwójne łóżko z nowym materacem (nie był przez nikogo używany), szafa PAX oraz szafki nocne z lampkami.

Łazienka - prysznic, szafka podwieszana oraz szafka pod umywalką, grzejnik (suszarka na ręczniki).

Przedpokój z pojemną szafą (mieszczącą pralkę) oraz lustrem i szafką na buty.

Opłaty miesięczne:
Opłata podstawowa przy podpisaniu umowy na 12 miesięcy: 3400 zł
Czynsz dla Spółdzielni: ok. 600 zł
Łącznie: 4000 zł + media (według zużycia prąd, ogrzewanie, woda)

W okolicy znajdują się liczne bezpłatne miejsca parkingowe lub dodatkowo płatny parking strzeżony.

KOMUNIKACJA I UDOGODNIENIA
Przystanek Park Olszyna mniej niż 5 min pieszo.
Do najbliższego przystanku autobusowego/tramwajowego 3 min pieszo.

Szybki dojazd do Centrum: 20 minut samochodem/25 minut komunikacją
Warszawa Centralna: 7,7 km, możliwy dojazd komunikacją miejską – bezpośrednim autobusem lub tramwajem.

W pobliżu znajdują się liczne sklepy i punkty usługowe w tym: przychodnia, poczta, piekarnia, kwiaciarnia oraz bazarek.

DODATKOWE ATUTY:
Szybka reakcja Właściciela - pomoc w razie awarii.

Umowa najmu okazjonalnego.

Zapraszam do kontaktu.",https://www.otodom.pl/pl/oferta/urocze-dwupokojowe-mieszkanie-na-bielanach-ID4pKYW
13 500 zł,,"ul. Biały Kamień, Wyględów, Mokotów, Warszawa, mazowieckie",97 m²,3,3/3,apartamentowiec,"balkon, ogródek, taras",,biuro nieruchomości,,meble,tak,garaż/miejsce parkingowe,2006,"klimatyzacja, piwnica",52.205901,20.996063,False,"[EN/PL] Prestige Real Estate prezentuje elegancki apartament w znakomitej lokalizacji na Górnym Mokotowie.
Apartament należy do rezydencji Camerata na prestiżowym osiedlu Eko Park.

Mieszkanie znajduje się na ostatnim piętrze z dużym ogrodem na dachu i z tarasem.
Wszystko zostało wykończone i urządzone pod nadzorem dobrego architekta.
Rozkład przedstawia sie następująco:
Dwie sypialnie (13,78m oraz 13,63m), każda z oknami wychodzącymi na wschodnią stronę.
Jedna z bezpośrednim wejściem do prywatnej łazienki.
Jasna kuchnia z oknami skierowanymi na zachód i połączona z salonem.
W salonie są duże okna z widokiem na piękny zielony teren osiedla.
Z salonu jest wyjście na taras (17m2), skąd można wejść schodami do ogrodu na dachu (40m2).
W salonie znajduje się klimatyzacja.
W cenie komórka lokatorska i miejsce postojowe w garażu podziemnym.
Media płatne dodatkowo. Zaliczka na media 450zł/miesięcznie.
Świetny punkt komunikacyjny, blisko parku Pole Mokotowskie.
Super oferta Polecam!
ENGLISH DESCRIPTION
Elegant apartment in one of the finest residences on the Eko Park estate.
The apartment is on the top floor with large roof garden with terrace.
Everything has been finished and furnished under the supervision of a good architect.
Two bedrooms, each with windows overlooking the east side.
One bedroom the direct access to a private bathroom.
The bright kitchen with windows facing west and connected to the living room.
In the living room are large windows overlooking the beautiful green area of the estate.
The apartment is fully furnished.
From the living room exit to the terrace (17m2), from where you can go up the stairs to the roof garden (40m2).
Air conditioning in the living room.
The price include storage room and underground garage.
Great communication point, near the park Pole Mokotowskie.
I recommend this offer!
DODATKOWE INFORMACJE:
Typ własności: własność
Materiał budowlany: cegła
Standard: luksusowy
Typ podłogi: parkiet
Typ ścian: gładź gipsowa
Rodzaj okien: aluminium
Łącze internetowe: tak
Liczba sypialni: 2
Liczba pokoi: 3
Piętro: 3
Liczba pięter: 3
Rok budowy: 2006
Ogrzewanie: miejskie
Kominek: nie
Piwnica: tak
Poddasze: nie
Na biuro: nie
Osiedle zamknięte: tak
Typ balkonu: duży, jest, ogródek, taras
Typ kuchni: widna
Typ łazienki: samodzielna
Typ budynku: apartamentowiec
Głośność: ciche
Klatka schodowa: czysta
Typ parkingu: garaż podziemny
Stan lokalu: luksusowy
Meble: tak
Opis mebli: tak
Domofon: tak
Winda: tak
Ochrona: tak
Ostatnie piętro: tak
Wyposażenie kuchni: tak
Klimatyzacja: tak
Amfilada: nie
Piecyk gazowy: nie
Wysokość: 294
Kaucja: 24000 PLN
Alarm: nie
DANE KONTAKTOWE:
Kamila Zielińska
+48 519 899 544, +48 519 899 544
ORGANIZUJEMY PREZENTACJE ONLINE ORAZ WIDEO
Organizujemy zdalne wizyty za pośrednictwem popularnych komunikatorów oraz posiadamy wiele filmów naszych nieruchomości.
Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.
Jako profesjonalna Agencja Nieruchomości pobieramy prowizję w przypadku zawarcia umowy najmu lub sprzedaży.
PRESTIGE REAL ESTATE - WYNAJEM DŁUGOTERMINOWY i SPRZEDAŻ NIERUCHOMOŚCI PREMIUM
Nasze specjalizacje: mieszkania na wynajem i sprzedaż w Warszawie, luksusowe domy na sprzedaż i wynajem, nieruchomości dla firm i ambasad, obsługa ekspatów, sprzedaż luksusowych nieruchomości Premium.
Więcej szczegółów oraz ofert naszej stronie internetowej
_______
English:
WE ORGANIZE ONLINE AND VIDEO PRESENTATIONS
Ask about a remote visit.
The content of this announcement does not constitute an offer within the meaning of the Civil Code.
As a professional Real Estate Agency, we charge a commission.
Prestige Real Estate Agency - Apartments and houses for rent or sell in Warsaw.
Our specialization:
Luxury properties for rent or sell in Warsaw, apartments and houses for embassy employees and expats, penthouses with best views in Warsaw, houses near American, British and French schools.
For more visit our website",https://www.otodom.pl/pl/oferta/luksusowy-penthouse-z-ogrodem-na-dachu-eko-park-ID4pIfd
2 300 zł,,"ul. ks. Jerzego Popiełuszki, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",29 m²,1,8,,,,biuro nieruchomości,,meble,nie,,,,,,False,"LOKALIZACJA:
Mieszkanie w sercu Żoliborza. Bardzo blisko metro Marymont, pętlę autobusową oraz linie tramwajową, którą w kilkanaście minut dostaniemy się do centrum Warszawy. Bliskość terenów zielonych oraz wszelkich potrzebnych usług typu markety, bazarek, knajpki, paczkomat, banki, teatr.
Budynek otoczony parkami. Z jednej strony mamy Sady Żoliborskie, drugiej stronie mamy Park Żywiciela, a po trzeciej Park Kaskada. W zasięgu kilkunasto minutowego spaceru dotrzemy do Parku Żeromskiego oraz Cytadeli. 5 min tramwajem znajduje się Arkadia Westfield.
Bliskość uczelni - W 15 minut dojedziemy do AWF w 30 min do UKSW.
MIESZKANIE:
Słoneczka kawalerka z oddzielnym aneksem kuchennym.
W pokoju znajduje się rozkładany narożnik, miejsce do przechowywania oraz stół z krzesłami. W przedpokoju ukryta jest duża szafa, która pomieści wszelkie rzeczy osobiste. Kuchnia jest wyposażona w podstawowy sprzęt, piekarnik, mikrofalówkę, lodówkę. Łazienka z prysznicem po remoncie. Mieszkanie czyste i zadbane.
Na piętrze znajdują się dwa ogólnodostępne balkony z pięknym widokiem na panoramę Warszawy.",https://www.otodom.pl/pl/oferta/metro-marymont-sloneczna-kawalerka-ID4pM7p
3 200 zł,810 zł/miesiąc,"ul. gen. Władysława Andersa, Muranów, Śródmieście, Warszawa, mazowieckie",50 m²,2,7/8,kamienica,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,,1950,tylko dla niepalących,,,False,"MAM BEZPOŚREDNIO DO WYNAJĘCIA MIESZKANIE

Powierzchnia: 50 m2: 2 pokoje: salon z aneksem kuchennym 27m2 i sypialnia 17m2.

Mieszkanie w pełni umeblowane: AGD: pralka, lodówka, zmywarka, piekarnik. Stan bardzo dobry, po generalnym remoncie kilka lat temu.

Mieszkanie w budynku z cegły, z lat 50., ponad standard wysokie: 3,50 m - przestronne. Budynek zadbany, klatka schodowa po remoncie, domofon.

ŚRÓDMIEŚCIE Andersa 35, przy ul. Stawki. Do metra Dw. Gdański (5 min. pieszo), blisko Starego Miasta, tramwaje i autobusy przed budynkiem. Słoneczne (ekspozycja południe-zachód)

Ciche, okna na zielony skwer i panoramę miasta. 7 piętro z ładnym widokiem.

CZYNSZ MIESIĘCZNY: 3.200 zł + opłaty do wspólnoty, w tym woda, ogrzewanie (810 zł) i prąd (100 zł). Kaucja: 4.000 zł.

Umowa zwykła, na rok.
Dla niepalących, bez zwierzaków.
Ukraińcy i Białorusini mile widziani :)

Wolne od zaraz.
604 220 463
Kasia",https://www.otodom.pl/pl/oferta/bezposrednio-do-wynajecia-andersa-50-m2-3-200-z-ID4pM7i
12 000 zł,,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",130 m²,4,> 10/14,,,,biuro nieruchomości,,,nie,,,,,,False,"Luksusowy, czteropokojowy apartament, projektu Macieja Zienia.
Bardzo przestronny, wysokie sufity, wykończone materiałami najwyższej jakości.

Apartament jest położony przy ulicy Rydygiera, w zielonej części Żoliborza w nowym budynku z całodobową ochroną.

Apartament z pięknym widokiem na panoramę Warszawy - usytuowany jest na 13. piętrze.


Składa się z:

części dziennej:
* przestronnego salonu połączonego z w pełni wyposażoną kuchnią
* dużego tarasu
* toalety gościnnej
* pomieszczenia gospodarczego
* gabinetu/sypialni

części prywatnej:
* 2 sypialnie
* 2 łazienki (jedna przy głównej sypialni)
* garderoby.


Nowa rezydencja z ochroną, placem zabaw. Bardzo dobra lokalizacja w pobliżu znajduje się przystanek autobusowy, tramwajowy, oraz sklepy i punkty usługowe.

Do mieszkania przynależy miejsce parkingowe w garażu podziemnym, w cenie.
Dodatkowo do czynszu należy doliczyć czynsz administracyjny (1400 PLN) i opłatę za media (500 PLN).



Zapraszam serdecznie na prezentację tej wyjątkowej nieruchomości.
Alona Kuzmychenko
tel.: +48 881 201 881
e-mail:",https://www.otodom.pl/pl/oferta/luksusowy-apartament-na-zielonym-zoliborzu-ID4pM72
2 850 zł,650 zł/miesiąc,"ul. Kaliska 15, Stara Ochota, Ochota, Warszawa, mazowieckie",30 m²,1,2/3,kamienica,,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",nie,,,"piwnica, tylko dla niepalących, oddzielna kuchnia",52.219238,20.981047,False,"English version below

Ulica Kaliska 15, do Placu Narutowicza i Grójeckiej 200m
Wszędzie blisko. Tramwaje, autobusy. Do centrum 10min. Całkowicie umeblowane i wyposażone lokum dla osoby niepalącej, bez zwierząt. Preferowany najem na długi okres. Na 30m2 składa się przestronny pokój z rozkładanym welurowym narożnikiem, stołem i krzesłami. Ogromna 2,5 metrowa szafa. Biblioteczka. Kuchnia wyposażona w lodówkę, zmywarkę, piekarnik i okap. W łazience wygodny prysznic i pralka. Czynsz 2850zl plus opłaty administracyjne 650zl. Media: prąd i woda płatne dodatkowo zgodnie z odczytem liczników. Dostepne od 1 kwietnia. Tel do właściciela: 60*****17. Jesli nie odbieram prosze o sms.

Fresh, remodelled studio 30sqm . On Kaliska 15 street in Ochota district-very close to city center. Fully furnished and equipped. Ready for its tenants from April 01. Long time rental preffered. Animals not allowed, non smoking tenant. Rent: 2850 PLN plus 650PLN administration cost and media as per usage. Need more info - call 60*****17 or send sms.ID: 825629503Wyś",https://www.otodom.pl/pl/oferta/kawalerka-30m2-ul-kaliska-15-stara-ochota-ID4pM6X
12 000 zł,,"ul. Twarda, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",57 m²,2,> 10/44,,,,biuro nieruchomości,,,nie,garaż/miejsce parkingowe,2011,pom. użytkowe,,,False,"Luksusowy apartament w wyjątkowej inwestycji COSMOPOLITAN w sercu Warszawy.
Mieszkanie zostało całkowicie odnowione, aby zapewnić nowoczesną i stylową przestrzeń mieszkalną, gotową do zamieszkania. 
Doskonała lokalizacja, piękny widok na panoramę miasta.

sypialnia * łazienka z wanną * klub fitness * siłownia * sauny

Na 4 piętrze zlokalizowana została strefa relaksu, dostępna wyłącznie dla właścicieli apartamentów. Składa się ona z fitness klubu z siłownią, pokojem do masażu, saunami, suchą i mokrą, jacuzzi oraz pomieszczeń klubowych. Znajduje się tu również zagospodarowany taras z pięknymi widokami. Dla mieszkańców jest również dostępna usługa concierge.


Apartament o pow 57m2 z widokiem na Warszawę znajduje się na 13 piętrze.
Składa się z:
* salonu
* otwartej kuchni
* sypialni z garderobą
* łazienki z wanną, prysznicem i WC
* dodatkowego pomieszczenia, zaaranżowanego na dużą szafę
* przedpokoju.


Apartament posiada klimatyzację oraz system ""INTELIGENT HOME TECHNOLOGY"", dodatkowo automatyczne rolety po całej długości okien.

Zapraszam na prezentację tej wyjątkowej nieruchomości.
Alona Kuzmychenko
tel. +48 881 201 881
e-mail:",https://www.otodom.pl/pl/oferta/apartament-w-cosmopolitan-nowy-piekny-widok-ID4pM5w
4 500 zł,670 zł/miesiąc,"ul. Jana Ostroroga, Młynów, Wola, Warszawa, mazowieckie",50 m²,2,3/6,blok,balkon,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2020,tylko dla niepalących,52.245362,20.966517,False,"2-pokojowe mieszkanie na wynajem położone przy ul. Jana Ostroroga 21, w dzielnicy Wola, w bliskim sąsiedztwie Cmentarza Stare Powązki.

LOKALIZACJA:
Mieszkanie znajduje się w odległości ok. 2.5 km od Ronda Daszyńskiego (15 minut komunikacją miejską, 10 minut rowerem, 30 minut spacerem) oraz ok. 2 km od Westfield Arkadia (7 minut samochodem, ok. 10 minut rowerem).

SĄSIEDZTWO:
50 m autobus: 103, 106, 136
200 m tramwaj: 20, 23, 24
SKM/PKP Koło ok. 10 min. pieszo
Metro Młynów ok 10 min. pieszo
Liczne sklepy (Biedronka, Aldi, Kulfon, Żabka, Rossman, Hebe) oraz inne punkty handlowo-usługowe.

BUDYNEK:
Lokal znajduje się na osiedlu WolaRe wybudowanego w 2020 r.
Osiedle jest zamknięte z całodobową ochroną i monitoringiem.
Lokal znajduje się na 3 piętrze w 6 piętrowym budynku z windą.

MIESZKANIE:
Mieszkanie ma powierzchnię ok. 50 mkw. i składa się z przestronnego salonu z aneksem kuchennym, sypialni oraz łazienki.
Mieszkanie wykończone z myślą o mieszkaniu przez właściciela (drewniana podłoga, kuchnia oraz szafy zamawiane na wymiar).
Mieszkanie jest umeblowane i wyposażone w niezbędne sprzęty (płyta indukcyjna, lodówka, piekarnik, mikrofalówka, zmywarka, pralka, odkurzacz).
Do mieszkania przynależy loggia (ok. 3.5 mkw.) oraz miejsce parkingowe w garażu podziemnym.

CENA:
4,500 zł za miesiąc czynsz najmu
+ ok. 670 zł czynsz administracyjny
+ opłata za prąd wg zużycia (woda i ogrzewanie wliczone jest w czynsz )

Miejsce parkingowe dodatkowo płatne: 200 zł za miesiąc.

Kaucja zwrotna w wysokości: 5,000 zł.

DODATKOWE INFORMACJE:
Umowa najmu okazjonalnego podpisywana notarialnie.
Mieszkanie dla max. 2 osób, bez dzieci i zwierząt.

Mieszkanie dostępne od zaraz.

Osoby zainteresowane proszę o kontakt telefoniczny.",https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-mlynow-wola-ID4pM5z
