rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,approximate_coordinates,adv_description,link
3 900 zł,800 zł/miesiąc,"ul. Bluszczańska, Siekierki, Mokotów, Warszawa, mazowieckie",44 m²,2,1/3,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2010,tylko dla niepalących,52.209208,21.063625,False,"[English version below] 
Przytulne, nowoczesne i wygodne 2 pokojowe mieszkanie z aneksem kuchennym na kameralnym osiedlu w zielonej części Warszawy, niedaleko centrum. Wyjątkowo zaprojektowane, z ciekawymi detalami wykończeniowymi, a także masą schowków i miejsca do przechowywania. Duże i przestronne okna oraz pokaźnej wielkości lustra dodatkowo rozświetlają pomieszczenia. Mieszkanie wykończone jest w wysokim standardzie. W okolicy dużo miejsca do spacerów, wycieczek rowerowych, biegania, Wisła. Nieopodal osiedla znajdują się sklepy, knajpki, komunikacja miejska i stacja rowerów Veturilo, a także lokale usługowe min. apteka, stomatolog, szereg gabinetów kosmetycznych i fryzjerskich.  
  Mieszkanie jest w pełni wyposażone.  
Miejsce postojowe w garażu podziemnym w cenie. 
  Salon z aneksem kuchennym, przestrzenią wypoczynkową i częścią jadalną,
Sypialnia z podwójnym łóżkiem, stolikami nocnymi i dużą szafą, 
Łazienka z prysznicem, WC, pralką i dwiema dużymi szafami, 
Nowocześnie umeblowane, z nietuzinkowym wykończeniem podłogi, 
Przestronny balkon pozwala na spożywanie posiłków na powietrzu, 
Wysoki standard sprzętów AGD, pralka, TV i zestaw kina domowego, 
Osiedle chronione, monitorowane,  
Blisko centrum, przystanki autobusowe niedaleko osiedla 
  Cena: 3900 zł  
Dodatkowo płatne: opłaty administracyjne i media ok. 900 zł miesięcznie 
************* 
Cosy, modern and comfortable 2-room apartment on a 1st floor. The apartment is situated in a quiet estate in a green part of Warsaw, close to city centre. Smartly designed, with unique interior details, large wardrobe and lots of storage spaces. Large and spacious windows with big mirrors add the light to the space. The apartment is finished in a superior standard. Around you will find a lot of space for walks, bicycle rides, running or other outdoor activities. Local shops, restaurants, public busses, city bike station (Veturilo) and services (e.g. pharmacy, dentist, hair salon, manicure/pedicure) nearby. 
  The apartment is fully equipped.  
Parking place in the underground garage included in the rental costs. 
  Living room with a kitchenette, sitting and dining area, 
Bedroom with double bed, bedside tables and large wardrobe, 
Bathroom with a shower, WC, washing machine and two large wardrobes, 
Modern design with extraordinary floor, 
The spacious balcony allows you to eat outside, 
Superior standard of home appliances, washing machine, TV and home cinema,  
The building is protected and monitored, 
Close to the city center and public transportation 
  Price: 3900 PLN 
Additional administration and utilities fees (approx. 900 PLN /month)",https://www.otodom.pl/pl/oferta/wyjatkowe-i-wygodne-2-pokoje-z-balkonem-i-garazem-ID4jGks
5 100 zł,850 zł/miesiąc,"ul. Sarmacka 23A, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",45 m²,2,parter/3,apartamentowiec,taras,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2023,tylko dla niepalących,52.160824,21.078011,False,"Z przyjemnością oferuję do wynajęcia przytulne mieszkanie dwupokojowe o powierzchni 45 metrów kwadratowych, położone na Wilanowie. Mieszkanie znajduje się na parterze w nowoczesnym budynku z windą, co zapewnia wygodę i łatwy dostęp.
**Charakterystyka mieszkania:** -
Przestronny salon z miejscem do relaksu oraz przestrzeń do urządzenia przytulnej jadalni.
- Komfortowa sypialnia, idealna do wypoczynku po całym dniu.
- Nowoczesna kuchnia wyposażona w sprzęt AGD
- Łazienka stylowa z duszą oraz wygodnymi udogodnieniami.
- Taras, z którego można podziwiać piękne widoki na okolicę.
**Dodatkowe informacje:**
- Mieszkanie jest w pełni umeblowane i wyposażone, gotowe do natychmiastowego zamieszkania.
- W budynku znajduje się miejsce parkingowe .
- Doskonała lokalizacja zapewnia łatwy dostęp do sklepów, restauracji, szkół oraz komunikacji miejskiej. **Warunki wynajmu:**
Serdecznie zapraszam do kontaktu w celu uzyskania dodatkowych informacji oraz umówienia się na oglądanie mieszkania. Gotowy jestem odpowiedzieć na wszelkie pytania i zapewnić Ci komfortowe warunki mieszkania w naszym pięknym mieście.",https://www.otodom.pl/pl/oferta/stylowe-nowe-mieszkanie-ID4prWu
3 400 zł,590 zł/miesiąc,"Stare Włochy, Włochy, Warszawa, mazowieckie",52 m²,2,1/2,kamienica,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",nie,,1934,"piwnica, oddzielna kuchnia",52.206724,20.92027,True,"Do wynajęcia bezpośrednio słoneczne, przestronne mieszkanie o pow. około 50 m2 zlokalizowane na 1. piętrze w kamienicy z 1934 roku. 
Agencjom nieruchomości dziękujemy, jest to najem bezpośredni. 
Mieszkanie składa się z 2 pokoi, kuchni, łazienki, korytarza oraz balkonu. 
Jest w pełni umeblowane: 
w kuchni znajduje się zmywarka, piekarnik, kuchenka, lodówka, pralka; 
w pokojach duża, pakowna szafa z różnymi udogodnieniami (kosze, miejsca na paski, szale, biżuterię, spodnie) duży stół, komoda;
w łazience podświetlana wanna z hydromasażem. Niektóre rzeczy widoczne na zdjęciach należą do poprzednich najemców.
Sypialnia wychodzi na stronę wschodnią, a salon z balkonem na stronę zachodnią skąd można podziwiać piękne zachody słońca. 
Nieruchomość położona jest w dzielnicy Stare Włochy, lokalizacja ta zapewnia ciszę i spokój, dookoła tylko niska zabudowa.
Niewątpliwym atutem mieszkania jest szybki dojazd do centrum: 4 minuty pieszo do stacji Warszawa Włochy skąd dojazd do centrum zajmuje około 12-15 minut, 4 minuty pieszo do przystanków autobusowych linie 189, 191, 178, 129, 127, 228.  
Parking znajduje się na ulicy. W najbliższej okolicy Lidl, Biedronka, 3 parki (Park ze Stawami Cietrzewia, Ogrody Kosmosu, Stawy Koziorożca) przychodnia zdrowia, apteka, sklep 24h/7.
Dodatkowo płatne media (gaz, prąd). 
Ogrzewanie gazowe: koszt w zależności od zużycia - dla poprzednich mieszkańców koszty gazu kształtowały się na poziomie 150-200 zł miesięcznie. 
W lokalu znajduje się termostat utrzymujący temperaturę na wskazanym poziomie i ograniczającym zużycie gazu.
Internet i telewizja we własnym zakresie. 
Jest to oferta skierowana do osób, które cenią sobie historię, komfort i spokój.
Mieszkanie dostępne od 1 kwietnia 2024 r. Możliwy jest wcześniejszy najem w zależności od potrzeb. Najem na minimum rok.
Zapraszamy do kontaktu!",https://www.otodom.pl/pl/oferta/sloneczne-2pokojowe-mieszkanie-na-starych-wlochach-ID4pBUH
3 000 zł,700 zł/miesiąc,"Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",43 m²,2,5/5,blok,balkon,do zamieszkania,prywatny,,"lodówka, piekarnik, kuchenka, pralka",tak,,,oddzielna kuchnia,52.22241,21.0154,True,"Bezpośrednio dwa pokoje 43 m2 przy metrze Politechnika 
Do wynajęcie dwupokojowe mieszkanie w sercu Warszawy na ul Śniadeckich, usytuowane na ostatnim piątym piętrze w budynku z windą. Budynek po niedawnym generalnym remoncie. 
Mieszkanie ciche, słoneczne z balkonem wychodzącym na wewnętrzny teren zamknięty pełen zieleni i drzew. Fantastycznie skomunikowane, trzy minuty do metra Politechnika, przystanki tramwajowe i autobusowe przy metrze oraz na placu Konstytucji. W pobliżu liczne sklepy, restauracje, parki. 
W skład mieszkanie wchodzą dwa oddzielne pokoje w tym jeden z balkonem z którego roztacza się piękny widok, oddzielna widna kuchnia z dużym oknem oraz łazienka z wanną. 
Wynajem 3000 PLN miesięcznie plus czynsz administracyjny 700 PLN i opłaty licznikowe. 
Kaucja 3700 PLN. 
Mieszkanie świeżo odnowione, czyste.
Zapraszam do kontaktu pod numerem telefonu 455 443 198 w celu umówienia wizyty.
Okres najmu minimum 1 rok.
Agencjom z góry dziękuję.",https://www.otodom.pl/pl/oferta/bezposrednio-dwa-pokoje-43-m2-metro-politechnika-ID4oPEa
4 000 zł,1 000 zł/miesiąc,"Młynów, Wola, Warszawa, mazowieckie","49,8 m²",2,6,blok,balkon,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,,"piwnica, tylko dla niepalących, oddzielna kuchnia",52.237046,20.979303,False,"Nie szukam pośrednika do wynajmu! 
Mieszkanie dostępne od zaraz.
Wynajem bezpośredni
Mieszkanie na 6 piętrze przy skrzyżowaniu Al.Solidarności i ul.Okopowej. Doskonała lokalizacja dla osób pracujących lub studiujących w stolicy. W pobliżu liczne sklepy, restauracje, punkty usługowe, blisko stacji metra Rondo Daszyńskiego, przystanki tramwajowe oraz autobusowe.
Mieszkanie w pełni wyposażone (pralka, lodówka, zmywarka, piekarnik, płyta indukcyjna), umeblowane (kanapa z funkcją spania, szafy wnękowe) i gotowe do zamieszkania od zaraz. Mieszkanie składa się z dużego przedpokoju, salonu, sypialni oraz oddzielnej kuchni.
Mieszkanie posiada miejsce parkingowe na zamykany osiedlowym parkingu przed blokiem oraz komórkę lokatorską w piwnicy. 
Minimalny okres najmu: 12 miesięcy
Czynsz najmu: 4 000zł/miesięcznie plus czynsz i opłaty eksploatacyjne ok. 1000zł 
Kaucja: 5 000 zł
Winda: Tak
Rodzaj najmu: najem okazjonalny
Zwierzęta: Nie 
Tylko dla niepalących. 
Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-oddzielna-kuchnia-ID4psyj
5 300 zł,700 zł/miesiąc,"ul. Łopuszańska, Raków, Włochy, Warszawa, mazowieckie",57 m²,3,4/4,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2023,"klimatyzacja, tylko dla niepalących",52.193638,20.937567,False,"WAŻNE
W związku z moim obecnym pobytem za granicą mieszkanie będzie można oglądać w dniach od 22-go marca do 4-tego kwietnia.

Przed 22/03 proszę o kontakt na whatsup pod nr. +52 844 103 7569 (różnica w czasie -7 godzin) lub poprzez formularz kontaktowy.
W dniach 22/03-03/04 kontakt pod nr. +48 506 006 466.
Nowy apartament na wynajem przy ul. Łopuszańskiej 55. Mieszkanie nieużywane, świeżo wykończone. Wynajmując będziesz pierwszym lokatorem/lokatorką!

Powierzchnia 57 m2 + duży balkon 13m2
- salon z aneksem kuchennym
- 2 sypialnie
- łazienka
- hol
- miejsce parkingowe w podziemnym parkingu, kilkanaście metrów od windy
Mieszkanie w pełni umeblowane:
- sprzęt AGD w kuchni: lodówka, płyta indukcyjna, piekarnik, zmywarka, czajnik, okap z pochłaniaczem
- w łazience pralko-suszarka
- kompletnie umeblowane 2 sypialnie z dużymi szafami
- w mniejszej sypialni miejsce do pracy: biurko i wygodny fotel
- szafa na kurtki i buty w holu

WARUNKI UMOWY NAJMU:
- czynsz 5300 PLN + czynsz administracyjny/zaliczka na media (przy 1 os) 700 PLN
- prąd płatny dodatkowo
- internet (światłowód Orange) z umową na najemcę
- okres najmu: 12 miesięcy
- umowa w formie najmu okazjonalnego
- mieszkanie dla osób niepalących
- bez zwierząt

OPIS SZCZEGÓŁOWY:
Mieszkanie o powierzchni 57m2 znajduje się w nowej inwestycji na warszawskich Włochach na nowym osiedlu Nova Ochota przy ul. Łopuszańskiej 55.
Lokal położony jest na 4 piętrze, budynek z windą. Składa się z salonu, kuchni, dwóch sypialni, łazienki z prysznicem i balkonu.
Wykończone przy użyciu materiałów wysokiej jakości.
W salonie i dużej sypialni nowa klimatyzacja.
W garażu podziemnym miejsce postojowe na 1 auto.
Osiedle chronione.
Jestem właścicielem mieszkania. Agencjom nieruchomości z góry dziękuję za współpracę.

Przedstawiona oferta nie jest ofertą handlową w rozumieniu przepisów prawa, lecz ma charakter informacyjny.",https://www.otodom.pl/pl/oferta/nowe-mieszkanie-3-pokoje-klimatyzacja-balkon-garaz-ID4psyv
5 400 zł,1 050 zł/miesiąc,"ul. Wolska 45, Czyste, Wola, Warszawa, mazowieckie",55 m²,3,> 10/16,apartamentowiec,"balkon, ogródek",do zamieszkania,prywatny,,"zmywarka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2019,"klimatyzacja, piwnica, tylko dla niepalących",52.233262,20.966235,False,"Klimatyzowane mieszkanie (klimatyzacja zamontowana 25.02.2024), znajduje się 200 metrów od stacji metra Płocka w apartamentowcu City Link na 12 piętrze. Cicha klatka schodowa - dwa mieszkania z własną windą. Mieszkanie jest jasne, przestronne i funkcjonalne w pełni urządzone, gotowe do zamieszkania. 
 W skład mieszkania wchodzą:
- salon z aneksem kuchennym – 19,58 m2 - kanapa, stolik kawowy, stół, 4 krzesła, lodówka, zmywarka, płyta grzewcza, szafki kuchenne
- sypialnia główna – 14,15 m2 - łóżko, 2 szafy, komoda, szafki nocne, lampki nocne
- sypialnia mniejsza – 9,84 m2 - łóżko, szafka nocna. UWAGA - w razie potrzeby dokupię szafę na ubrania i biurko wraz z krzesłem.
- łazienka - WC, umywalka, pralka, wanna z parawanem szklanym – 4,33 m2
- przedpokój – 7,11 m2 - 2 szafy na ubrania, szafka na buty, wieszak
- loggia – 3,96 m2
  Do mieszkania przynależy miejsce parkingowe na poziomie -1 oraz duża (7m2) komórka lokatorska, usytuowana tuż przy miejscu parkingowym. Garaż i komórka w cenie.Dostęp do zamkniętego placu zabaw dla dzieci. 
Okolica:
Mieszkanie znajduje się w bardzo dobrym punkcie komunikacyjnym. Stacja metra Płocka, przystanek autobusowy i tramwajowy znajdują się ok 100 metrów od budynku.
W okolicy znajduje się wiele sklepów, najbliższy, Żabka - 50 metrów od wejścia budynku, Lidl - 3 minuty piechotą, Biedronka – 2 przystanki tramwajem, Rossmann – 3 min piechotą. Ponadto, jest tutaj wiele barów, pizzernia, sushi, kebab, cukiernika, piekarnia, liczne punkty usługowe, kilka klubów fitness, bank, bankomat, apteka, poczta, ośrodek zdrowia. W pobliżu znajdują się parki Szymańskiego i Moczydło z placami zabaw dla dzieci, miejską siłownią i fontannami oraz kompleks otwartych basenów.
Cena: odstępne 5400,00 zł, czynsz administracyjny 1050,00 zł.
Zaliczki ma media w wysokości 100 zł miesięcznie od osoby. Media rozliczane dwa razy do roku przez Wspólnotę Mieszkaniową.
Kaucja 6.000,00 zł
Mieszkanie dla osób niepalących i bez zwierząt. Studentom dziękuję. 
Mieszkanie dostępne od zaraz.
Prezentowana oferta nie stanowi oferty w rozumieniu Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/metro-plocka-klima-garaz-komorka-lok-ID4pry8
4 500 zł,820 zł/miesiąc,"Stare Włochy, Włochy, Warszawa, mazowieckie",51 m²,3,2/4,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2023,tylko dla niepalących,52.199422,20.908285,True,"Dzień dobry,
  Wynajmę trzypokojowe mieszkanie o powierzchni 51 metrów kwadratowych na zamkniętym osiedlu przy ul. Fasolowej.
  Lokal jest nowy i pierwszy raz wynajmowany. Przestronny, idealny dla rodzin z osobnym pokojem dla dzieci lub singli potrzebujących niezależnego pokoju do pracy w trybie home office.
  Mieszkanie składa się z:
  dużego pokoju / salonu 19,27m2 (rozkładana kanapa, podwójny stolik kawowy, szafka rtv);
  aneksu kuchennego (lodówka, płyta indukcyjna, piekarnik, zmywarka);
  nie umeblowanego pokoju 8,32m2 gotowego pod własną aranżację (dodatkowa sypialnia, pokój dziecięcy, gabinet home office); 
  sypialni 12,18m2 (łóżko 140x200; przestronna szafa);
  dużego balkonu z widokiem na patio;
  przedpokoju 5,63m2 z szafą na ubrania / dodatkowe wyposażenie;
  łazienki 5,62m2  (wanna ze składaną szybą z opcją prysznica, pralka)
  Do mieszkania przynależy miejsce parkingowe w garażu podziemnym.   
  Możliwość doposażenia mieszkania w telewizor, dodatkową szafę.
  Bardzo dobra lokalizacja, w pobliżu:
Pieszo 1min -> sklepy Żabka, Delikatesy
  Pieszo 2min -> przystanek autobusowy Ryżowa
pieszo 20min -> Factory Ursus
  pieszo 19 min -> stacja PKP Włochy;
  Mieszkanie znajduje się na 2 piętrze w 4 piętrowym budynku. 
  Czynsz: 4500zł + 820 zł opłaty administracyjne + opłata za media wg zużycia. Wymagana kaucja w wysokości 9000zł. Miejsce parkingowe jest wliczone w cenie czynszu najmu.
  Umowa min. na 12 miesięcy, umowa najmu okazjonalnego w formie aktu notarialnego. Koszty notarialne po stronie najemcy. Umowa w języku polskim, koszt tłumacza po stronie najemcy.
  Umowa tylko bezpośrednio (nie współpracuję z Agencjami nieruchomości).
  W celu umówienia się na oglądanie mieszkania, zapraszam do kontaktu telefonicznego (tel. 660280333) lub mailowego.",https://www.otodom.pl/pl/oferta/wynajme-nowe-mieszkanie-warszawa-wlochy-ID4psy7
3 000 zł,800 zł/miesiąc,"ul. Jana Miklaszewskiego, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",50 m²,2,3/4,blok,balkon,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",nie,garaż/miejsce parkingowe,1980,"piwnica, oddzielna kuchnia",52.149483,21.035184,False,"Bezpośrednio wynajmę mieszkanie 2 pokojowe na Ursynowie przy ul. Miklaszewskiego 13. Mieszkanie po generalnym remoncie w 2021 roku. Bardzo spokojna lokalizacja. Dobra komunikacja, w odległości kilkuset metrów Metro Imielin oraz Metro Stokłosy.
Mieszkanie w bloku 4. piętrowym, zlokalizowane na przedostatnim 3. piętrze. Blok bez windy.
Do mieszkania przynależy duży balkon około 7/8 m2.
Osiedle zamknięte szlabanami, dostępny bezpłatny parking zewnętrzny tuż przy bloku.
Cena na wynajem: 3000 zł + czynsz 800 zł + opłaty eksploatacyjne 200 zł za osobę (prąd, woda, internet)
Mieszkanie dostępne do zamieszkania od 01.03.2024 r.
Zapraszam do kontaktu",https://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-ursynow-metro-imielin-ID4pje8
3 000 zł,1 zł/miesiąc,"ul. Zenona Klemensiewicza, Jelonki Północne, Bemowo, Warszawa, mazowieckie","54,3 m²",2,1/3,blok,balkon,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",nie,,1990,oddzielna kuchnia,52.235606,20.903004,False,"Stan wykończenia: po remoncie. Czyste i pachnące.
Komfortowy i funkcjonalny rozkład pomieszczeń. Dwa oddzielne pokoje, oddzielna kuchnia, łazienka z wanną. 
Mieszkanie ciepłe i słoneczne, z widokiem na zielenień z okien.
Bardzo dobra komunikacja: autobus, tramwaj, metro, szybki dojazd do centrum, wygodny dojazd do trasy S8.
W pobliżu: sklepy, kilka centrów handlowych (np.: Wola Park), przychodnia lekarska, poczta, przestrzeń zielona: Park Górczewska.
Miejsce parkingowe dla chętnych można wynająć w okolicy Media Markt przy ul. Górczewskiej (ok 250zł/mc).
Nie akceptujemy zwierząt domowych w mieszkaniu.
Czynsz w cenie (1 zł wpisany w ogłoszeniu zapobiega komunikatowi ""zapytaj"")
Prąd, woda ciepła i zimna oraz ogrzewanie płatne osobno wg zużycia zgodnie ze wskazaniami liczników. 
Umowa najmu okazjonalnego, najchętniej na przynajmniej 1 rok.",https://www.otodom.pl/pl/oferta/dwa-pokoje-bemowo-blisko-metra-czynsz-w-cenie-ID4penl
