rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,approximate_coordinates,adv_description,link
2 000 zł,711 zł/miesiąc,"ul. Antonia Corazziego 4, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",36 m²,2,3/4,blok,balkon,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",tak,,1961.0,"tylko dla niepalących, oddzielna kuchnia",52.2442057,21.0009468,False,"·         Oferta najmu skierowana dla jednej osoby z polskim obywatelstwem (this offer is only for Polish citizens), pracującej, bez dzieci, zwierząt domowych i niepalącej.
·          Wynajmę bez pośrednictwa agencji, dwupokojowe mieszkanie 36 m2położone w centrum Warszawy w pobliżu pl. Bankowego, przy cichej i kameralnej ulicy Corazziego 4 na 3 piętrze w budynku 4 piętrowym z dwoma windami.
·         Mieszkanie w klimacie lat sześćdziesiątych (budynek z cegły z 1961 r.) z balkonem, z oryginalnym parkietem dębowym i szafą wnękową oraz widną kuchnią i łazienką. Mieszkanie czyste po remoncie, słoneczne, ciche z widokiem na zieleń i zabytkowy Pałac Maltański. Mieszkanie wyposażone w podstawowe AGD: kuchenka gazowa z piekarnikiem, pralka, lodówka, odkurzacz. Mieszkanie składa się z sypialni z wersalką, sosnową szafą, komodą z szufladami, półką na książki oraz pokoju wypoczynkowego z komodą i nową szafą sosnową.
·         W okolicy pełna infrastruktura handlowo-usługowa a także możliwość odpoczynku, Ogród Saski (5 min pieszo) Ogród Krasińskich (5 min pieszo) Stare Miasto (5 min pieszo). Mieszkanie idealnie skomunikowane, położone obok stacji metro Ratusz Arsenał, (przystanki autobusowe i tramwajowe we wszystkich kierunkach).
·         Koszt wynajmu (dla jednej osoby): 2000 zł oraz opłata należna administracji budynku 711 zł w której wliczona jest zaliczka za wodę, ogrzewanie i wywóz śmieci. Do zapłacenia tylko opłaty za gaz i energię elektryczną. Okres najmu powyżej 12 miesięcy. Umowa najmu okazjonalnego oraz kaucja 2800 zł. Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego. Kontakt: Robert tel.: 502 117 324
Nie korzystam z pośrednictwa agencji nieruchomości (proszę nie dzwonić) i nie wyrażam zgody na kopiowanie niniejszego ogłoszenia oraz jego zdjęć. (Dz.U. z 1994 r. Nr 24, poz. 83, z późn. zm.)",https://www.otodom.pl/pl/oferta/bezp-wynajme-dwupok-36-m-metro-ratusz-arsenal-ID4pVZB
3 500 zł,700 zł/miesiąc,"ul. Obrzeżna, Służewiec, Mokotów, Warszawa, mazowieckie","40,2 m²",2,5/6,apartamentowiec,,do zamieszkania,biuro nieruchomości,,"meble, lodówka, piekarnik, zmywarka, kuchenka",tak,garaż/miejsce parkingowe,2009.0,,52.1708,20.997829,False,"Poszukujesz niedużego mieszkania w bardzo dobrej lokalizacji?
Chcesz cieszyć się klimatem atmosfery Mokotowa i okolicznych atrakcji?
Jeżeli tak, ta oferta jest właśnie dla Ciebie.

Na Mokotowie przy ul. Obrzeżnej czeka na Ciebie ciche, dwupokojowe mieszkanie. Znajduje się na 5 piętrze i ma powierzchnię ponad 40m².


Mieszkanie jest bardzo funkcjonalne, a na jego powierzchnię składa się:
- salon z aneksem kuchennym,
- sypialnia, z podwójnym łóżkiem,
- łazienka z wanną,
- przedpokój,
- oddzielna garderoba,
- taras wzdłuż mieszkania (11m²), który doskonale sprawdza się w ciepłe wieczory.


Do mieszkania przynależy komórka lokatorska, która znajduje się na tym samym piętrze – tuż przy mieszkaniu, może idealnie służyć za schowek gospodarczy czy spiżarkę. Komórka wyposażona jest w regały.
Łatwy dojazd zarówno do centrum miasta jak i na lotnisko.

W okolicy sklepy, restauracje, siłownia, stacja Veturilo oraz przystanki autobusowe.
10 minut pieszo do Galerii Mokotów oraz przystanków tramwajowych i 5 minut do toru Wyścigów Konnych.

Miejsce w garażu podziemnym przy wejściu do klatki dodatkowo płatne 100 PLN
Kaucja: jednomiesięczny czynsz.
Cena najmu: 3500 zł + czynsz administracyjny (700 zł) + prąd/gaz wg zużycia.

Nie czekaj, zadzwoń i umów spotkanie. To mieszkanie czeka właśnie na Ciebie.

Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/2-pokoje-mokotow-taras-komorka-garaz-ID4pVye
9 000 zł,1 000 zł/miesiąc,"ul. Herbu Janina, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",90 m²,4,4/4,apartamentowiec,"balkon, taras",do zamieszkania,biuro nieruchomości,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2021.0,"klimatyzacja, piwnica",52.1540574,21.0752642,False,"Nowoczesny apartament na ostatnim 4 piętrze budynku z 2021 roku. Wysoki standard wykończenia.

Umeblowany i gotowy do wprowadzenia. Klimatyzacja.

Układ pomieszczeń:
- hol z szafami
- 2 łazienki (wanna+prysznic)
- salon z otwartą kuchnią (klimatyzacja), balkon
- 3 sypialnie z szafami
- pralnia z pralką i suszarką

1 miejsce garażowe w cenie najmu.",https://www.otodom.pl/pl/oferta/miasteczko-wilanow-nowy-budynek-ac-3-sypialnie-ID4pW6x
4 300 zł,700 zł/miesiąc,"ul. Wronia, Mirów, Wola, Warszawa, mazowieckie",30 m²,2,1/7,apartamentowiec,balkon,do zamieszkania,biuro nieruchomości,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",nie,garaż/miejsce parkingowe,2019.0,,52.23278,20.98583,False,"Mamy przyjemność zaprezentować Państwu 2-pokojowe mieszkanie znajdujące się na Woli.
Dostępne do wynajęcia od teraz.

Apartament ma powierzchnię 30 m2 i znajduje się na 1 piętrze. Składa się z dwóch pokoi, w tym salonu połączonego z aneksem kuchennym wyposażoną w wysokiej klasy sprzęt AGD, przytulnego pokoju, wygodnego przedpokoju, łazienki oraz urokliwego tarasu o powierzchni 17 m2.
Budynek z portiernią, całodobową ochroną, nowoczesny, wysokiej klasy, wykończenie- marmury na korytarzach, fornir, piękne lustra. Mieszkanie jest nowoczesne i funkcjonalne.
Możliwość wynajęcia miejsca w garażu (dodatkowo płatne)
Zwierzęta nie są akceptowane.

LOKALIZACJA
Doskonała lokalizacja tego mieszkania zapewnia łatwy dostęp do wszystkich najważniejszych punktów użyteczności publicznej. W bliskiej odległości znajdują się przystanek autobusowy i ttamwajowy, metro, Galeria, sklepy i restauracje. Mieszkanie znajduje się w dogodnym punkcie, który umożliwia szybkie dotarcie do różnych atrakcji i udogodnień.
Mieści się w nowym budynku na rogu al Solidarności 163 i ul Wroniej u zbiegu Woli i Śródmieścia. W bliskim sąsiedztwie Browarów Warszawskich, pl Europejskiego, Fabryki Norblina.

CENA

Cena - 4300 PLN + czynsz w wysokości 700 złotych.
Do tego dochodzą koszty za zużytą energię elektryczną, która jest rozliczana według stanów liczników.

Jednorazowa kaucja - 5000 złotych.

Zapraszamy do kontaktu z naszym biurem!

ENG
We are pleased to present you a unique apartment located in Wola. The apartment is finished in a very elegant and peaceful manner, very bright and practical. We invite you to contact us for more information.
We speak PL / UKR / RU / ENG. We provide assistance at every stage.",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-woli-ID4pUU9
5 300 zł,750 zł/miesiąc,"ul. Fort Wola, Ulrychów, Wola, Warszawa, mazowieckie",56 m²,3,parter/7,blok,"balkon, ogródek",do zamieszkania,biuro nieruchomości,tak,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2013.0,,52.2264955,20.9280279,False,"Mamy przyjemność zaprezentować Państwu 3-pokojowe mieszkanie znajdujące się na Woli, przy ulicy Fort Wola 12C. Dostepne do wynajęcia od teraz.

Apartment ma powierzchnię, 56m2 i znajduje się na parterze. Składa się z trzech pokoi.
Mieszkanie wyposażone jest w sprzęt RTV i AGD wysokiej jakości. Jest w pełni umeblowane, co oznacza, że gotowe jest do zamieszkania od zaraz. Wszystkie elementy wyposażenia są praktycznie nowe.
mieszkanie posiada również przestronny ogródek o powierzchni 180 m2

LOKALIZACJA
Doskonała lokalizacja tego mieszkania zapewnia łatwy dostęp do wszystkich najważniejszych
punktów użyteczności publicznej. Liczne sklepy, restauracje, cafe, skwer i żłobek.

CENA
Cena - 5300 PLN + czynsz w wysokości 750 złotych.
Do tego dochodzą koszty za zużyta energię elektryczną , która jest rozliczana według stanów liczników.

Jednorazowa kaucja - 10000 złotych.

Do mieszkania przynależą dwa miejsca postojowe w garażu podziemnym wliczone w cenę najmu.

Małe zwierzęta są akceptowane w apartamencie!

Zapraszamy do kontaktu z naszym biurem!

We are pleased to present you a unique apartment located in Wola. The apartment is finished in a very elegant and peaceful manner, very bright and practical. We invite you to contact us for more information.
We speak PL / UKR / RU / ENG. We provide assistance at every stage.",https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-z-ogrodkiem-180m2-fort-wola-ID4pUGb
4 400 zł,1 100 zł/miesiąc,"ul. Wąwozowa, Kabaty, Ursynów, Warszawa, mazowieckie","87,6 m²",4,6/7,blok,balkon,do zamieszkania,biuro nieruchomości,tak,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,,2019.0,,52.13129,21.06592,False,"Mamy przyjemność zaprezentować Państwu mieszkanie o powierzchni 87,6 m2 i składającego się z 3 sypialni, salonu połączonego z kuchnią, łazienki z wanną i toaletą oraz osobnej toalety z umywalką. 
Salon z kuchnią i przedpokojem tworzą otwartą przestrzeń o pow ok 35 m2. Okna części dziennej wychodzą na patio na południowo-wschodnią stronę. Z salonu jest wyjście na duży balkon.

Lokalizacja: Mieszkanie znajduje się na Ursynowie obok lasu Kabaty, co daje mieszkańcom możliwość spacerów, rekreacji na świeżym powietrzu i kontaktu z przyrodą. Jednocześnie w okolicy znajdują się sklepy, restauracje, placówki edukacyjne i inne udogodnienia. To doskonałe miejsce dla osób ceniących kontakt z naturą, ale jednocześnie chcących korzystać z dobrodziejstw miejskiego życia. , co daje mieszkańcom możliwość spacerów, rekreacji na świeżym powietrzu i kontaktu z przyrodą. Jednocześnie w okolicy znajdują się sklepy, restauracje, placówki edukacyjne i inne udogodnienia. 
Cena: 
4400 zł + 1100 zł czynsz + prąd i gaz
Kaucja - 5000 zł,
Numer oferty: 309067
Zapraszamy do kontaktu z naszym biurem! 

ENG
We are pleased to present you a unique apartment located in Ursynów. We invite you to contact us for more information.

We speak PL / UKR / RU / ENG. We provide assistance at every stage.",https://www.otodom.pl/pl/oferta/ursynow-4-pokoje-duzy-balkon-ID4pUcN
6 500 zł,,"Stegny, Mokotów, Warszawa, mazowieckie",120 m²,3,3/7,blok,balkon,do zamieszkania,biuro nieruchomości,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2002.0,,52.1808374,21.0069906,True,"LEX NIERUCHOMOŚCI MARTA KOSMOWSKA TEL. +48 601164167.
Do wynajęcia komfortowy apartament 3 pokojowy 120 m² przy ul. Sobieskiego na 7 piętrze w 12 piętrowym reprezentacyjnym budynku  z 2002 roku z cegły w zamkniętym strzeżonym osiedlu z balkonem, miejscem postojowym w garażu podziemnym. Kuchnia w aneksie, łazienka z toaletą plus osobno toaleta, umeblowane, dodatkowo zmywarka. W budynku: basen, jacuzzi, siłownia, sauna. Na terenie osiedla kort tenisowy, plac zabaw dla dzieci. Budynek otoczony prywatnym ogrodem z zadbaną zielenią. W holu budynku znajduje się całodobowa recepcja. Możliwość parkowania samochodu również na osiedlu. Świetna lokalizacja na granicy Mokotowa i Wilanowa, z dostępem do znakomitej infrastruktury Miasteczka Wilanów z przedszkolami, szkołami, sklepami, kawiarniami i restauracjami. Doskonałe połączenie z centrum Warszawy zarówno samochodem jak i komunikacją miejską: obok przystanków autobusowych. W pobliżu sklepów, restauracji. Czynsz najmu 6500 PLN kaucja 6500 PLN bez dodatkowych opłat.
  Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego.
Autorskie prawa majątkowe do fotografii nieruchomości przysługują wyłącznie firmie : LEX NIERUCHOMOŚCI MARTA KOSMOWSKA. Kopiowanie, przetwarzanie, rozpowszechnianie fotografii bez zgody LEX NIERUCHOMOŚCI MARTA KOSMOWSKA jest zabronione i będzie traktowane jako naruszenie ustawy z dnia 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych
  Jako biuro nieruchomości pobieramy prowizję-wynagrodzenie.
 ",https://www.otodom.pl/pl/oferta/mokotow-ul-sobieskiego-120-m-garaz-basen-silownia-ID4pSKU
4 300 zł,,"Służew, Mokotów, Warszawa, mazowieckie",55 m²,3,4/5,blok,balkon,,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,,tylko dla niepalących,52.175,21.00917,True,"3 POKOJE 
MOKOTÓW SŁUŻEW 
LOKAL UMEBLOWANY (JEDEN BEZ MEBLI - DO UZGODNIENIA UMEBLOWANIE)
PARKING PODZIEMNY 
DOSTĘPNE OD ZARAZ
UMOWA NAJMU MIN 12 MCY 
W PRZYPADKU ZWIERZAT WYMAGANA POLISA OC 
CZYNSZ NAJMU 4300 ZŁ
KAUCJA 4300 ZŁ 
ZALICZKI NA MEDIA 300 ZŁ 
KONTAKT: WIOLETTA SKRZYPCZAK TEL. 662 113 115 ",https://www.otodom.pl/pl/oferta/klobucka-6e-mokotow-sluzew-ID4pXpB
3 000 zł,560 zł/miesiąc,"ul. Belwederska, Ujazdów, Śródmieście, Warszawa, mazowieckie","47,3 m²",3,2/10,blok,balkon,do zamieszkania,biuro nieruchomości,,"lodówka, piekarnik, kuchenka, pralka",tak,,1975.0,oddzielna kuchnia,52.207657,21.030294,False,"Do wynajęcia trzypokojowe mieszkanie z balkonem na ul. Belwederskiej.
W pobliżu liczne parki: Morskie Oko, Promenada i Łazienki Królewskie.
Doskonała komunikacja z centrum miasta. W bliskiej odległości przystanek autobusowy i szybki dojazd do Śródmieścia.Cicha i spokojna okolica.
Pod blokiem liczne punkty handlowo-usługowe: Biedronka, Rossmann.
W skład mieszkania wchodzi:
- duży pokój dzienny
- sypialnia
- mały pokój przejściowy z wyjściem na balkon
- oddzielna kuchnia
- łazienka
- przedpokój
- balkon

Koszty wynajęcia mieszkania:
- kwota najmu 3000 zł
- do kwoty najmu należy doliczyć czynsz do administracji 560 zł + opłaty licznikowe za prąd i gaz według zużycia
- kaucja zwrotna w wysokości 6000 zł

Mieszkanie wyposażone w sprzęt AGD oraz w pralkę.

MIESZKANIE NIEUMEBLOWANE.

UWAGA!
UMOWA NAJMU OKAZJONALNEGO.

Zapraszam na prezentację.",https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-dolny-mokotow-ID4pXpa
3 000 zł,750 zł/miesiąc,"ul. Zamieniecka, Grochów, Praga-Południe, Warszawa, mazowieckie",47 m²,2,1,blok,,,biuro nieruchomości,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",nie,,,,52.2383985,21.0971148,False,"Do wynajęcia mieszkanie dwupokojowe o powierzchni 47m.

Praga Południe - ul. Zamieniecka 46.
Piętro 1.

Mieszkanie składa się z:
salonu z aneksem kuchennym
sypialni
przedpokoju
łazienki z wc

Do mieszkania przynależy taras z małym ogródkiem.

Wyposażenie mieszkania widoczne na zdjęciach.

Cena najmu to 3000 zł + czynsz+ prąd oraz ewentualne ponadnormatywne zużycie wody i ogrzewania (zaliczki ujęte w czynszu).
Wymagana jednomiesięczna kaucja oraz najem okazjonalny (koszt notarialny po stronie właściciela).

Zapraszam do kontaktu.
tel: 882 076 665

Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 § 1 Kodeksu Cywilnego.

Firma Select House Nieruchomości dokłada wszelkich starań, aby informacje zawarte w ogłoszeniu były aktualne, kompletne oraz rzetelne. Informacje dotyczące oferowanej nieruchomości zostały uzyskane od Właścicieli.",https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-47m2-taras-ul-zamieniecka-ID4pSEY
