stop_id,stop_code,stop_name,stop_lat,stop_lon
3,3,Instalatorów,52.2005400000,20.9477700000
9,5,Hynka,52.1897360000,20.9589560000
12,6,PKP Rakowiec,52.1972250000,20.9630270000
13,5,PKP Rakowiec,52.1971540000,20.9630320000
14,2,Instalatorów-KAM,52.1984131500,20.9576131700
17,5,Krakowiaków,52.1855850000,20.9550100000
28,1,Łopuszańska,52.1966610000,20.9299630000
34,2,Ryżowa,52.2001970000,20.9145270000
36,1,Płużańska,52.2071030000,20.9249600000
46,4,Dzieci Warszawy,52.1925690000,20.9071060000
50,1,Spisaka,52.1893935200,20.8846081200
51,1,Kuźnicy Kołłątajowskiej,52.1889250000,20.8771880000
56,2,Dojazdowa,52.1986560000,20.9183720000
63,1,PKP Włochy,52.2052610000,20.9156490000
70,1,Parowcowa,52.2117920000,20.9136400000
73,1,Wojciechowskiego,52.1959270000,20.8796620000
75,1,PKP Ursus,52.1966160000,20.8851550000
84,3,Łopuszańska,52.1954350000,20.9297110000
91,2,Leżajska,52.1888520000,20.9808590000
92,4,Sasanki,52.1840580000,20.9777250000
94,1,Sasanki,52.1826740000,20.9783090000
101,1,Niemcewicza,52.2212660000,20.9839320000
106,1,Lindleya,52.2234100000,20.9965090000
108,4,Szczęśliwicka,52.2149610000,20.9695410000
111,3,Szczęśliwicka,52.2128440000,20.9673570000
112,1,Wawelska,52.2168460000,20.9818850000
113,6,Wawelska,52.2168720000,20.9798690000
114,5,Wawelska,52.2159600000,20.9828210000
115,2,Al. Wielkopolski,52.2168760000,20.9962920000
116,1,Al. Wielkopolski,52.2165140000,20.9954270000
122,1,Szyszkowa,52.1719670000,20.9395990000
123,2,Szyszkowa,52.1708180000,20.9378200000
132,1,Instytut Lotnictwa,52.1787240000,20.9469300000
151,2,Raszyńska,52.2198060000,20.9898580000
152,3,Pomnik Lotnika,52.2162700000,20.9913400000
157,2,Baleya,52.1959960000,20.9832780000
160,3,Rakowiec,52.1981980000,20.9848130000
167,1,Pomnik Lotnika,52.2155620000,20.9881370000
170,1,Raszyńska,52.2198610000,20.9893640000
171,2,Spiska,52.2234490000,20.9833740000
179,6,Dw. Zachodni,52.2190100000,20.9678760000
180,4,Rondo Zesłańców Syberyjskich,52.2159810000,20.9628810000
187,1,Pl. Starynkiewicza,52.2260230000,20.9945850000
1,1,Włochy-Ratusz,52.1936030000,20.9614250000
4,1,Instalatorów-KAM,52.1981390000,20.9586320000
10,6,Hynka,52.1906080000,20.9573150000
16,2,Krakowiaków,52.1852960000,20.9534680000
20,1,Leżajska,52.1885420000,20.9802240000
22,2,Komitetu Obrony Robotników,52.1806570000,20.9782170000
23,1,Ośrodek Wojskowy,52.1747730000,20.9791660000
25,2,Orzechowa,52.1921470000,20.9490070000
29,1,Popularna,52.2016140000,20.9371590000
33,1,Dojazdowa,52.1981620000,20.9200100000
39,4,Wałowicka,52.2095840000,20.9139750000
41,1,Wagonownia,52.2145750000,20.9303450000
44,1,Przepiórki,52.2030950000,20.9046850000
45,1,Ursus-Ratusz,52.2016750000,20.8961700000
52,1,Prażmowska,52.1929210000,20.8792020000
55,4,Ryżowa,52.1991220000,20.9135330000
61,2,Rybnicka,52.2074300000,20.9058500000
64,3,PKP Włochy,52.2071940000,20.9160140000
74,2,PKP Ursus,52.1974570000,20.8874040000
81,2,Płużańska,52.2081210000,20.9248430000
97,1,Komitetu Obrony Robotników,52.1789950000,20.9781650000
98,2,Ośrodek Wojskowy,52.1752450000,20.9794890000
104,1,Drzewieckiego,52.1814380000,20.9739090000
117,1,Bitwy Warszawskiej 1920 r.,52.2115210000,20.9772670000
118,1,Dickensa,52.2059550000,20.9724240000
119,2,Korotyńskiego,52.2031340000,20.9693460000
139,1,Och-Teatr,52.2147230000,20.9799600000
155,2,Pruszkowska,52.2016020000,20.9852270000
156,2,Rakowiec,52.1989910000,20.9843410000
166,2,Pomnik Lotnika,52.2169470000,20.9903100000
172,2,Białobrzeska,52.2217240000,20.9771780000
176,2,Dw. Zachodni,52.2180560000,20.9658510000
181,3,Rondo Zesłańców Syberyjskich,52.2157010000,20.9622220000
185,2,Śmigłowca,52.2096130000,20.9483500000
186,6,Pl. Starynkiewicza,52.2275470000,20.9952840000
188,2,Pl. Starynkiewicza,52.2261040000,20.9935900000
191,1,Banacha,52.2099110000,20.9803980000
192,7,Banacha,52.2103950000,20.9844720000
194,1,Jasielska,52.1983190000,20.9794040000
195,2,Mołdawska,52.2002690000,20.9786370000
197,2,Wiślicka,52.2048980000,20.9762540000
198,1,Mołdawska,52.2018540000,20.9792790000
5,2,Radarowa,52.1887620000,20.9629590000
6,1,Radarowa,52.1881160000,20.9640770000
7,1,Hynka,52.1906650000,20.9589080000
8,2,Hynka,52.1897080000,20.9574380000
11,1,PKP Rakowiec,52.1979930000,20.9654640000
18,1,Astronautów,52.1845610000,20.9749700000
19,2,Sasanki,52.1840760000,20.9792230000
21,2,Novotel,52.1909230000,20.9815640000
27,1,WKD Raków,52.1943500000,20.9360860000
